buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
1,2,0,10,10,12,2,1,2,171027_1-1
2,8,3,0,12,1,1,11,2,171027_2-2
1,4,3,1,9,8,5,6,3,171027_3-1
0,4,3,1,11,7,7,3,4,171027_4-2
1,8,1,1,4,4,7,7,7,171027_5-1
0,1,8,0,6,13,9,2,1,171027_6-2
0,2,2,5,8,15,3,4,1,171027_7-1
0,6,2,0,10,4,4,11,3,171027_8-2
0,2,6,5,3,11,3,9,1,171027_9-1
1,2,6,1,6,7,6,10,1,171027_10-2
2,6,6,1,1,6,9,6,3,171110_1-1
3,4,4,6,1,7,5,3,7,171110_2-2
0,6,2,0,4,1,2,19,6,171110_3-1
0,0,2,4,5,20,5,0,4,171110_4-2
0,5,4,0,5,11,9,5,1,171110_5-1
0,6,3,4,4,8,6,6,3,171110_6-2
0,4,6,1,6,8,6,7,2,171110_7-1
0,1,5,0,12,6,10,2,4,171110_8-2
5,2,3,1,0,3,11,4,11,171110_9-1
4,2,10,0,0,6,7,1,10,171110_10-2
1,11,4,0,1,0,2,18,3,171114_1-1
0,0,4,9,1,19,7,0,0,171114_2-2
0,0,3,6,10,14,6,1,0,171114_3-1
1,0,10,4,2,11,10,0,2,171114_4-1
0,9,2,0,7,4,3,13,2,171114_5-2
2,4,9,1,1,0,8,13,2,171114_6-2
1,7,5,0,1,2,8,8,8,171114_7-1
10,4,15,3,3,0,1,3,1,171114_8-1
2,0,7,1,2,13,10,0,5,171114_9-2
12,1,2,4,3,3,14,1,0,171114_10-2
2,5,7,0,3,3,9,6,5,171114_11-1
6,0,7,7,1,9,7,0,3,171114_12-1
2,3,5,6,2,7,6,2,7,171114_13-2
4,10,7,0,0,0,8,8,3,171114_14-2
3,10,2,2,4,0,1,15,3,171114_15-1
2,8,7,0,1,0,7,13,2,171114_16-1
2,3,1,11,2,15,2,1,3,171114_17-2
0,0,9,8,1,13,9,0,0,171114_18-2
0,1,8,4,4,10,9,3,1,171114_19-1
2,7,4,2,2,4,5,8,6,171114_20-2
0,0,8,5,0,15,11,0,1,171117_1-2
0,2,7,0,7,5,8,8,3,171117_2-1
1,2,11,6,2,5,8,5,0,171117_3-1
0,2,7,3,4,10,5,6,3,171117_4-2
4,5,7,0,0,0,3,15,6,171117_5-1
1,1,6,1,13,6,4,2,6,171117_6-1
0,3,2,1,12,4,7,5,6,171117_7-2
4,6,5,3,1,6,7,6,2,171117_8-2
2,1,1,3,21,8,2,2,0,171117_9-1
0,5,2,2,19,3,2,7,0,171117_10-2
4,1,1,9,3,16,1,0,5,171117_11-1
0,11,4,1,2,0,5,15,2,171117_12-2
3,3,1,8,2,9,6,5,3,171117_13-1
3,8,6,3,2,4,2,8,4,171117_14-2
1,7,7,0,3,4,5,10,3,171117_15-1
0,2,4,1,5,13,13,0,2,171117_16-2
0,5,4,5,8,5,4,9,0,171117_17-1
0,6,4,4,7,10,5,4,0,171117_18-2
6,2,4,3,2,11,2,3,7,171121_1-1
4,6,1,4,2,1,4,9,9,171121_2-2
0,0,4,0,11,13,10,2,0,171121_3-1
1,7,2,0,8,5,3,9,5,171121_4-2
0,0,8,7,2,5,13,2,3,171121_5-1
2,7,10,2,0,2,4,6,7,171121_6-2
1,7,5,0,3,3,3,15,3,171121_7-1
0,0,4,6,4,15,7,2,2,171121_8-2
0,4,2,0,11,5,8,6,4,171121_9-1
0,1,8,3,10,8,3,6,1,171121_10-2
1,5,8,2,4,6,7,5,2,171121_11-1
1,3,7,5,4,5,7,6,2,171121_12-2
8,0,1,1,18,5,1,1,5,171124_1-1
7,4,0,0,14,5,2,7,1,171124_2-2
1,1,3,5,5,12,7,2,4,171124_3-1
1,4,8,0,6,2,5,11,3,171124_4-2
8,2,1,10,6,3,1,5,4,171124_5-2
4,6,8,3,11,0,3,3,2,171124_6-1
1,0,11,3,2,8,6,1,8,171124_7-1
4,3,3,0,1,1,9,8,11,171124_8-2
0,0,5,10,2,17,5,0,1,171124_9-1
0,13,2,0,1,1,6,14,3,171124_10-2
0,1,6,3,8,9,5,8,0,171124_11-1
1,4,3,3,10,4,3,6,6,171124_12-2
0,5,5,2,6,2,8,4,8,171124_13-1
0,1,9,1,6,9,8,3,3,171124_14-2
0,0,1,3,12,9,10,3,2,171124_15-1
0,4,8,0,9,6,1,10,2,171124_16-2
3,0,7,6,5,10,5,4,0,171124_17-1
4,10,1,3,3,3,2,9,5,171124_18-2
1,8,2,2,4,6,7,6,4,171124_19-1
2,4,4,6,4,8,3,5,4,171124_20-2
