buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
3,1,3,0,0,0,6,2,4,180706_1-1
2,0,7,0,0,2,5,0,3,180706_2-2
1,1,5,2,0,1,5,2,2,180713_1-2
0,4,1,3,3,2,3,3,0,180713_2-2
1,3,2,4,4,2,1,0,2,180713_3-1
0,0,3,1,2,6,7,0,0,180720_1-2
0,2,6,1,0,1,2,7,0,180720_2-1
1,2,4,1,3,2,4,2,0,180720_3-2
0,2,4,1,3,3,6,0,0,180720_4-1
3,2,4,1,1,2,0,2,4,180720_5-2
0,1,3,1,1,3,8,2,0,180720_6-1
3,0,8,1,0,2,3,1,1,180724_1-2
2,2,3,0,0,1,10,1,0,180724_2-1
2,2,1,1,2,3,2,0,6,180724_3-2
1,2,2,1,0,3,4,3,3,180724_4-1
0,2,5,2,2,2,4,1,1,180724_5-2
1,3,2,3,0,1,3,3,3,180724_6-1
2,1,3,3,0,2,3,1,4,180724_7-2
5,1,2,0,1,1,2,3,4,180724_8-1
0,1,3,1,3,2,5,3,1,180724_9-2
1,1,4,0,3,4,4,1,1,180724_10-1
1,2,5,1,1,4,3,1,1,180724_11-1
0,1,4,2,1,0,6,5,0,180724_12-2
4,2,6,1,1,1,3,1,0,180731_1-1
5,2,0,1,0,3,7,0,1,180731_2-2
1,2,3,0,0,1,7,2,3,180731_3-1
2,0,5,1,0,4,4,1,2,180731_4-2
3,0,9,0,0,0,3,1,3,180803_1-1
3,0,3,0,0,1,10,0,2,180803_2-2
0,0,3,1,1,8,3,0,3,180803_3-1
0,3,2,0,1,0,3,6,4,180803_4-2
1,2,7,1,0,0,5,1,2,180803_5-1
3,0,4,2,1,1,4,1,3,180803_6-2
3,2,3,0,1,1,4,3,2,180807_1-1
2,1,4,3,0,3,4,1,1,180807_2-2
0,1,6,4,0,0,5,3,0,180809_1-1
1,3,5,1,1,2,4,1,1,180809_2-2
5,1,3,0,0,1,6,0,3,180809_3-1
6,0,4,0,0,1,4,1,3,180809_4-2
0,3,3,3,4,1,0,2,3,180810_1-1
1,1,2,2,5,1,3,3,1,180810_2-2
1,0,4,1,1,5,5,2,0,180810_3-1
1,1,4,1,2,0,3,4,3,180810_4-2
1,1,0,3,3,3,4,2,2,180814_1-1
0,4,4,0,2,4,2,3,0,180814_2-2
1,1,4,0,0,4,7,1,1,180814_3-1
3,1,3,0,1,2,3,1,5,180814_4-2
1,2,0,3,3,1,4,0,5,180814_5-1
1,4,2,0,1,4,2,2,3,180814_6-2
4,3,2,1,0,1,3,2,3,180814_7-1
3,1,4,2,1,1,5,0,2,180814_8-2
1,2,11,0,0,0,0,5,0,180817_1-2
0,0,0,5,0,3,10,0,1,180817_2-1
1,0,3,0,3,3,3,5,1,180817_3-1
1,1,2,2,1,5,2,3,2,180817_4-2
1,1,4,3,0,4,3,3,0,180820_1-1
1,1,4,0,3,1,5,4,0,180820_2-2
4,1,3,2,0,1,4,3,1,180820_3-1
5,2,2,1,0,4,2,1,2,180820_4-2
0,1,0,0,12,4,1,1,0,180821_1-1
0,0,0,0,14,1,0,3,1,180821_2-2
2,1,0,1,3,1,8,2,1,180821_3-1
1,4,7,1,1,3,0,0,2,180821_4-2
1,2,2,1,2,2,3,6,0,180821_5-1
0,1,4,2,2,6,2,2,0,180821_6-2
3,3,2,0,3,3,1,2,2,180827_1-1
4,0,0,3,3,2,2,2,3,180827_2-2
0,1,4,3,4,2,2,2,1,180827_3-1
0,2,3,1,4,2,4,3,0,180827_4-2
