buy-buy,buy-no trade,buy-sell,no trade-buy,no trade-no trade,no trade-sell,sell-buy,sell-no trade,sell-sell,date
0,1,5,0,0,0,5,0,8,171027_1-1
4,0,0,0,0,1,2,0,12,171027_2-2
0,2,0,2,9,1,1,4,0,171027_3-1
0,1,2,1,10,3,1,1,0,171027_4-2
1,2,8,0,1,0,3,1,3,171027_5-1
2,0,1,1,0,4,8,2,1,171027_6-2
0,1,1,1,5,4,5,1,1,171027_7-1
0,2,4,1,6,1,1,2,2,171027_8-2
0,3,1,2,2,2,4,3,2,171027_9-1
0,1,5,2,3,2,2,3,1,171027_10-2
1,0,7,1,0,5,4,0,1,171110_1-1
1,2,3,0,0,0,8,3,2,171110_2-2
4,3,4,0,3,2,1,0,2,171110_3-1
1,1,2,4,2,1,6,2,0,171110_4-2
1,2,4,0,2,0,3,4,3,171110_5-1
0,1,3,2,0,6,4,1,2,171110_6-2
0,0,7,1,0,1,7,2,1,171110_7-1
0,0,9,0,0,1,7,2,0,171110_8-2
4,4,4,0,0,0,2,3,2,171110_9-1
2,0,4,5,0,2,5,0,1,171110_10-2
0,7,5,0,0,0,0,7,0,171114_1-1
0,0,0,8,0,6,5,0,0,171114_2-2
0,4,1,0,3,1,5,4,1,171114_3-1
0,1,1,3,2,6,5,1,0,171114_4-1
2,2,1,3,2,6,0,0,3,171114_5-2
0,6,3,1,1,1,1,3,3,171114_6-2
0,2,6,0,0,3,6,2,0,171114_7-1
4,5,10,0,0,0,0,0,0,171114_8-1
2,1,3,1,2,2,6,0,2,171114_9-2
4,0,0,5,0,0,10,0,0,171114_10-2
1,1,7,1,0,0,4,0,5,171114_11-1
0,0,1,1,0,6,2,3,6,171114_12-1
4,0,3,1,0,0,5,0,6,171114_13-2
0,2,1,0,1,3,1,4,7,171114_14-2
0,4,1,0,1,2,0,4,7,171114_15-1
2,1,4,0,0,1,1,3,7,171114_16-1
0,0,0,3,2,5,2,1,6,171114_17-2
1,0,2,1,0,4,5,1,5,171114_18-2
1,0,3,2,0,4,6,1,2,171114_19-1
0,4,6,0,0,0,4,2,3,171114_20-2
0,0,3,3,1,3,6,0,3,171117_1-2
0,5,3,0,2,1,2,5,1,171117_2-1
1,0,1,0,1,5,2,4,5,171117_3-1
0,0,2,5,1,5,4,2,0,171117_4-2
1,2,5,0,1,0,3,4,3,171117_5-1
1,1,0,3,4,4,4,1,1,171117_6-1
1,4,3,0,4,2,1,2,2,171117_7-2
0,0,2,0,1,4,2,4,6,171117_8-2
0,2,2,0,0,2,1,7,5,171117_9-1
0,0,1,0,3,7,4,0,4,171117_10-2
0,0,0,0,4,5,8,2,0,171117_11-1
0,2,6,0,3,4,0,4,0,171117_12-2
0,3,4,0,1,2,0,5,4,171117_13-1
0,0,0,4,1,5,2,2,5,171117_14-2
4,1,1,1,1,1,1,5,4,171117_15-1
0,1,5,3,1,3,4,1,1,171117_16-2
0,1,0,0,5,6,1,1,5,171117_17-1
0,0,1,0,5,3,2,6,2,171117_18-2
0,2,0,1,3,2,5,3,3,171121_1-1
2,2,2,0,2,6,0,1,4,171121_2-2
0,1,4,2,1,3,6,2,0,171121_3-1
3,1,3,0,1,3,3,4,1,171121_4-2
0,1,3,4,3,4,2,1,1,171121_5-1
2,4,1,2,2,0,1,5,2,171121_6-2
0,1,5,1,4,1,4,1,2,171121_7-1
1,2,1,2,2,3,3,2,3,171121_8-2
0,0,9,1,3,1,3,2,0,171121_9-1
0,2,2,1,2,2,8,1,1,171121_10-2
0,2,2,3,1,3,3,3,2,171121_11-1
0,3,3,0,1,4,4,3,1,171121_12-2
0,0,0,1,1,8,2,3,4,171124_1-1
0,1,2,0,0,4,0,8,4,171124_2-2
0,1,7,0,0,2,7,2,0,171124_3-1
0,1,6,1,0,2,6,1,2,171124_4-2
1,0,0,7,1,0,7,2,1,171124_5-2
1,4,10,0,3,0,1,0,0,171124_6-1
3,0,1,4,0,0,10,0,1,171124_7-1
3,3,11,0,1,0,0,1,0,171124_8-2
0,0,5,0,1,0,6,4,3,171124_9-1
1,1,5,1,0,4,2,0,5,171124_10-2
0,0,5,2,5,0,3,3,1,171124_11-1
1,4,0,2,2,4,1,1,4,171124_12-2
3,2,4,0,0,5,2,2,1,171124_13-1
3,0,1,2,1,1,4,5,2,171124_14-2
2,1,4,0,3,5,1,0,3,171124_15-1
2,1,1,1,2,1,5,5,1,171124_16-2
0,0,1,1,0,6,3,4,4,171124_17-1
0,3,0,0,1,3,1,3,8,171124_18-2
0,2,4,4,1,6,0,1,1,171124_19-1
2,1,0,1,3,1,3,7,1,171124_20-2
