Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,103,9900,11,11033,sell,no
3,1,103,10003,10,11033,sell,no
4,1,103,10106,9,11033,sell,no
5,1,98,10209,8,10993,buy,yes
6,1,103,10111,9,11038,sell,no
7,1,100,10214,8,11014,buy,yes
8,1,100,10114,9,11014,buy,no
9,1,105,10014,10,11064,sell,no
10,1,105,10119,9,11064,sell,no
11,1,102,10224,8,11040,sell,no
12,1,102,10326,7,11040,sell,no
13,1,102,10428,6,11040,sell,no
14,1,97,10530,5,11015,no trade,no
15,1,95,10530,5,11005,no trade,yes
16,1,98,10530,5,11020,no trade,no
17,1,101,10530,5,11035,sell,no
18,1,96,10631,4,11015,no trade,yes
19,1,96,10631,4,11015,no trade,no
20,1,94,10631,4,11007,buy,yes
21,2,97,10537,5,11022,buy,no
22,2,103,10440,6,11058,sell,no
23,2,98,10543,5,11033,buy,yes
24,2,98,10445,6,11033,no trade,yes
25,2,96,10445,6,11021,buy,yes
26,2,96,10349,7,11021,no trade,yes
27,2,94,10349,7,11007,buy,yes
28,2,94,10255,8,11007,no trade,no
29,2,94,10255,8,11007,no trade,yes
30,2,100,10255,8,11055,sell,yes
31,2,100,10355,7,11055,sell,yes
32,2,95,10455,6,11025,no trade,no
33,2,95,10455,6,11025,no trade,yes
34,2,101,10455,6,11061,sell,yes
35,2,96,10556,5,11036,no trade,yes
36,2,96,10556,5,11036,no trade,yes
37,2,102,10556,5,11066,sell,yes
38,2,102,10658,4,11066,sell,no
39,2,102,10760,3,11066,sell,yes
40,2,102,10862,2,11066,sell,yes
41,2,97,10964,1,11061,buy,no
42,2,103,10867,2,11073,sell,yes
43,2,98,10970,1,11068,buy,yes
44,2,104,10872,2,11080,sell,yes
45,2,99,10976,1,11075,no trade,no
46,2,105,10976,1,11081,sell,no
47,2,102,11081,0,11081,no trade,no
48,2,109,11081,0,11081,no trade,no
49,2,116,11081,0,11081,no trade,no
50,2,113,11081,0,11081,no trade,no
51,2,110,11081,0,11081,no trade,yes
52,2,107,11081,0,11081,no trade,yes
53,2,114,11081,0,11081,no trade,no
54,2,121,11081,0,11081,no trade,yes
55,2,129,11081,0,11081,no trade,yes
56,2,126,11081,0,11081,no trade,no
57,2,123,11081,0,11081,no trade,no
58,2,120,11081,0,11081,no trade,yes
59,2,117,11081,0,11081,buy,yes
60,2,117,10964,1,11081,buy,no
61,3,117,10847,2,11081,buy,no
62,3,117,10730,3,11081,no trade,yes
63,3,110,10730,3,11060,buy,no
64,3,114,10620,4,11076,sell,no
65,3,108,10734,3,11058,buy,no
66,3,108,10626,4,11058,no trade,no
67,3,108,10626,4,11058,no trade,no
68,3,108,10626,4,11058,no trade,no
69,3,108,10626,4,11058,no trade,yes
70,3,108,10626,4,11058,no trade,yes
71,3,102,10626,4,11034,buy,no
72,3,102,10524,5,11034,sell,yes
73,3,102,10626,4,11034,no trade,no
74,3,102,10626,4,11034,sell,yes
75,3,102,10728,3,11034,no trade,yes
76,3,102,10728,3,11034,no trade,no
77,3,106,10728,3,11046,sell,yes
78,3,96,10834,2,11026,buy,yes
79,3,99,10738,3,11035,sell,no
80,3,94,10837,2,11025,buy,no
81,3,97,10743,3,11034,sell,yes
82,3,92,10840,2,11024,buy,yes
83,3,97,10748,3,11039,sell,no
84,3,88,10845,2,11021,buy,yes
85,3,91,10757,3,11030,sell,no
86,3,86,10848,2,11020,buy,no
87,3,91,10762,3,11035,sell,no
88,3,82,10853,2,11017,buy,no
89,3,85,10771,3,11026,sell,yes
90,3,80,10856,2,11016,buy,no
91,3,84,10776,3,11028,sell,no
92,3,84,10860,2,11028,no trade,yes
93,3,87,10860,2,11034,sell,no
94,3,82,10947,1,11029,buy,no
95,3,85,10865,2,11035,sell,no
96,3,80,10950,1,11030,buy,no
97,3,84,10870,2,11038,sell,no
98,3,79,10954,1,11033,buy,no
99,3,79,10875,2,11033,buy,yes
100,3,82,10796,3,11042,sell,no
101,3,74,10878,2,11026,,
