Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,103,9900,11,11033,sell,no
3,1,100,10003,10,11003,buy,yes
4,1,103,9903,11,11036,buy,yes
5,1,107,9800,12,11084,buy,yes
6,1,111,9693,13,11136,buy,yes
7,1,115,9582,14,11192,buy,yes
8,1,119,9467,15,11252,no trade,yes
9,1,119,9467,15,11252,no trade,yes
10,1,123,9467,15,11312,sell,yes
11,1,117,9590,14,11228,sell,yes
12,1,112,9707,13,11163,sell,yes
13,1,107,9819,12,11103,sell,yes
14,1,102,9926,11,11048,sell,yes
15,1,97,10028,10,10998,sell,yes
16,1,93,10125,9,10962,sell,yes
17,1,89,10218,8,10930,sell,no
18,1,85,10307,7,10902,sell,yes
19,1,81,10392,6,10878,no trade,yes
20,1,84,10392,6,10896,sell,yes
21,2,80,10476,5,10876,sell,yes
22,2,80,10556,4,10876,sell,yes
23,2,76,10636,3,10864,no trade,yes
24,2,74,10636,3,10858,sell,yes
25,2,72,10710,2,10854,sell,yes
26,2,69,10782,1,10851,buy,yes
27,2,76,10713,2,10865,sell,yes
28,2,73,10789,1,10862,buy,yes
29,2,81,10716,2,10878,buy,yes
30,2,81,10635,3,10878,buy,yes
31,2,90,10554,4,10914,buy,yes
32,2,100,10464,5,10964,no trade,yes
33,2,106,10464,5,10994,sell,yes
34,2,101,10570,4,10974,sell,yes
35,2,96,10671,3,10959,sell,yes
36,2,96,10767,2,10959,sell,yes
37,2,96,10863,1,10959,sell,yes
38,2,92,10959,0,10959,no trade,yes
39,2,98,10959,0,10959,no trade,yes
40,2,96,10959,0,10959,no trade,yes
41,2,102,10959,0,10959,no trade,yes
42,2,109,10959,0,10959,no trade,yes
43,2,106,10959,0,10959,buy,yes
44,2,106,10853,1,10959,no trade,yes
45,2,103,10853,1,10956,no trade,yes
46,2,100,10853,1,10953,no trade,yes
47,2,106,10853,1,10959,no trade,yes
48,2,113,10853,1,10966,no trade,yes
49,2,110,10853,1,10963,buy,no
50,2,110,10743,2,10963,no trade,yes
51,2,117,10743,2,10977,no trade,yes
52,2,114,10743,2,10971,sell,yes
53,2,111,10857,1,10968,sell,yes
54,2,108,10968,0,10968,no trade,yes
55,2,108,10968,0,10968,no trade,yes
56,2,108,10968,0,10968,no trade,no
57,2,108,10968,0,10968,buy,yes
58,2,119,10860,1,10979,no trade,yes
59,2,116,10860,1,10976,buy,yes
60,2,128,10744,2,11000,buy,yes
61,3,128,10616,3,11000,no trade,yes
62,3,128,10616,3,11000,buy,yes
63,3,132,10488,4,11016,buy,yes
64,3,136,10356,5,11036,buy,yes
65,3,141,10220,6,11066,buy,yes
66,3,149,10079,7,11122,sell,yes
67,3,135,10228,6,11038,no trade,yes
68,3,135,10228,6,11038,no trade,yes
69,3,135,10228,6,11038,buy,no
70,3,142,10093,7,11087,sell,yes
71,3,142,10235,6,11087,sell,yes
72,3,142,10377,5,11087,sell,yes
73,3,128,10519,4,11031,buy,yes
74,3,132,10391,5,11051,buy,yes
75,3,139,10259,6,11093,buy,yes
76,3,146,10120,7,11142,sell,yes
77,3,146,10266,6,11142,sell,yes
78,3,132,10412,5,11072,no trade,yes
79,3,125,10412,5,11037,no trade,yes
80,3,118,10412,5,11002,no trade,yes
81,3,111,10412,5,10967,no trade,yes
82,3,115,10412,5,10987,buy,yes
83,3,121,10297,6,11023,buy,yes
84,3,128,10176,7,11072,sell,yes
85,3,116,10304,6,11000,buy,yes
86,3,122,10188,7,11042,sell,yes
87,3,122,10310,6,11042,sell,yes
88,3,122,10432,5,11042,sell,yes
89,3,110,10554,4,10994,buy,yes
90,3,110,10444,5,10994,sell,yes
91,3,99,10554,4,10950,no trade,yes
92,3,94,10554,4,10930,no trade,yes
93,3,97,10554,4,10942,buy,yes
94,3,102,10457,5,10967,buy,yes
95,3,108,10355,6,11003,buy,no
96,3,114,10247,7,11045,no trade,yes
97,3,114,10247,7,11045,buy,yes
98,3,114,10133,8,11045,sell,yes
99,3,103,10247,7,10968,sell,yes
100,3,93,10350,6,10908,buy,yes
101,3,98,10257,7,10943,,
