Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,97,10100,9,10973,sell,yes
3,1,97,10197,8,10973,sell,yes
4,1,97,10294,7,10973,sell,no
5,1,93,10391,6,10949,sell,yes
6,1,93,10484,5,10949,sell,yes
7,1,93,10577,4,10949,sell,yes
8,1,91,10670,3,10943,no trade,no
9,1,94,10670,3,10952,sell,yes
10,1,92,10764,2,10948,no trade,yes
11,1,90,10764,2,10944,no trade,no
12,1,93,10764,2,10950,sell,no
13,1,93,10857,1,10950,no trade,no
14,1,96,10857,1,10953,sell,no
15,1,96,10953,0,10953,buy,no
16,1,101,10857,1,10958,buy,no
17,1,105,10756,2,10966,sell,yes
18,1,105,10861,1,10966,sell,yes
19,1,102,10966,0,10966,no trade,no
20,1,102,10966,0,10966,buy,yes
21,2,108,10864,1,10972,sell,no
22,2,108,10972,0,10972,no trade,no
23,2,115,10972,0,10972,buy,no
24,2,127,10857,1,10984,no trade,no
25,2,127,10857,1,10984,no trade,yes
26,2,135,10857,1,10992,no trade,no
27,2,144,10857,1,11001,no trade,no
28,2,153,10857,1,11010,no trade,no
29,2,163,10857,1,11020,buy,no
30,2,180,10694,2,11054,buy,no
31,2,199,10514,3,11111,sell,no
32,2,194,10713,2,11101,sell,yes
33,2,189,10907,1,11096,no trade,yes
34,2,189,10907,1,11096,sell,yes
35,2,189,11096,0,11096,buy,yes
36,2,208,10907,1,11115,sell,yes
37,2,208,11115,0,11115,buy,yes
38,2,229,10907,1,11136,sell,yes
39,2,223,11136,0,11136,buy,yes
40,2,223,10913,1,11136,sell,yes
41,2,217,11136,0,11136,buy,yes
42,2,217,10919,1,11136,sell,yes
43,2,211,11136,0,11136,buy,yes
44,2,233,10925,1,11158,sell,no
45,2,233,11158,0,11158,buy,yes
46,2,257,10925,1,11182,sell,no
47,2,250,11182,0,11182,buy,yes
48,2,265,10932,1,11197,sell,yes
49,2,265,11197,0,11197,buy,yes
50,2,292,10932,1,11224,sell,yes
51,2,284,11224,0,11224,buy,yes
52,2,313,10940,1,11253,sell,yes
53,2,304,11253,0,11253,buy,yes
54,2,335,10949,1,11284,sell,yes
55,2,325,11284,0,11284,buy,yes
56,2,358,10959,1,11317,sell,yes
57,2,348,11317,0,11317,buy,yes
58,2,348,10969,1,11317,sell,yes
59,2,348,11317,0,11317,buy,yes
60,2,383,10969,1,11352,sell,yes
61,3,372,11352,0,11352,buy,yes
62,3,384,10980,1,11364,sell,yes
63,3,384,11364,0,11364,buy,yes
64,3,404,10980,1,11384,sell,yes
65,3,380,11384,0,11384,buy,yes
66,3,399,11004,1,11403,sell,yes
67,3,376,11403,0,11403,buy,yes
68,3,395,11027,1,11422,sell,yes
69,3,372,11422,0,11422,buy,yes
70,3,391,11050,1,11441,sell,yes
71,3,391,11441,0,11441,buy,yes
72,3,411,11050,1,11461,sell,yes
73,3,411,11461,0,11461,buy,yes
74,3,432,11050,1,11482,sell,yes
75,3,432,11482,0,11482,buy,yes
76,3,454,11050,1,11504,sell,yes
77,3,409,11504,0,11504,buy,yes
78,3,422,11095,1,11517,sell,yes
79,3,380,11517,0,11517,no trade,yes
80,3,358,11517,0,11517,no trade,yes
81,3,358,11517,0,11517,no trade,yes
82,3,358,11517,0,11517,buy,yes
83,3,369,11159,1,11528,sell,yes
84,3,333,11528,0,11528,no trade,yes
85,3,333,11528,0,11528,no trade,yes
86,3,314,11528,0,11528,no trade,yes
87,3,314,11528,0,11528,buy,yes
88,3,324,11214,1,11538,sell,yes
89,3,292,11538,0,11538,no trade,yes
90,3,275,11538,0,11538,no trade,yes
91,3,275,11538,0,11538,buy,yes
92,3,289,11263,1,11552,sell,yes
93,3,261,11552,0,11552,no trade,yes
94,3,261,11552,0,11552,no trade,yes
95,3,269,11552,0,11552,no trade,yes
96,3,253,11552,0,11552,buy,yes
97,3,261,11299,1,11560,sell,yes
98,3,261,11560,0,11560,no trade,yes
99,3,269,11560,0,11560,no trade,yes
100,3,253,11560,0,11560,buy,yes
101,3,261,11307,1,11568,,
