Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,100,10100,9,11000,buy,yes
3,1,105,10000,10,11050,sell,yes
4,1,105,10105,9,11050,sell,yes
5,1,100,10210,8,11010,no trade,yes
6,1,97,10210,8,10986,no trade,yes
7,1,100,10210,8,11010,sell,yes
8,1,95,10310,7,10975,sell,yes
9,1,95,10405,6,10975,no trade,yes
10,1,93,10405,6,10963,sell,yes
11,1,89,10498,5,10943,sell,yes
12,1,87,10587,4,10935,sell,yes
13,1,87,10674,3,10935,sell,yes
14,1,83,10761,2,10927,sell,yes
15,1,79,10844,1,10923,sell,yes
16,1,76,10923,0,10923,buy,no
17,1,76,10847,1,10923,buy,yes
18,1,76,10771,2,10923,no trade,yes
19,1,79,10771,2,10929,sell,yes
20,1,76,10850,1,10926,no trade,yes
21,2,79,10850,1,10929,no trade,yes
22,2,77,10850,1,10927,no trade,yes
23,2,82,10850,1,10932,sell,no
24,2,78,10932,0,10932,no trade,yes
25,2,83,10932,0,10932,no trade,yes
26,2,81,10932,0,10932,no trade,yes
27,2,86,10932,0,10932,no trade,yes
28,2,84,10932,0,10932,buy,no
29,2,93,10848,1,10941,sell,no
30,2,89,10941,0,10941,no trade,yes
31,2,95,10941,0,10941,no trade,no
32,2,93,10941,0,10941,buy,yes
33,2,103,10848,1,10951,sell,yes
34,2,98,10951,0,10951,no trade,yes
35,2,104,10951,0,10951,no trade,yes
36,2,101,10951,0,10951,no trade,yes
37,2,108,10951,0,10951,no trade,yes
38,2,105,10951,0,10951,buy,yes
39,2,105,10846,1,10951,buy,yes
40,2,105,10741,2,10951,no trade,yes
41,2,112,10741,2,10965,sell,yes
42,2,107,10853,1,10960,no trade,yes
43,2,104,10853,1,10957,no trade,yes
44,2,111,10853,1,10964,sell,yes
45,2,108,10964,0,10964,no trade,yes
46,2,115,10964,0,10964,no trade,yes
47,2,112,10964,0,10964,no trade,yes
48,2,119,10964,0,10964,no trade,yes
49,2,116,10964,0,10964,buy,yes
50,2,128,10848,1,10976,sell,yes
51,2,122,10976,0,10976,no trade,yes
52,2,119,10976,0,10976,buy,yes
53,2,119,10857,1,10976,buy,yes
54,2,119,10738,2,10976,buy,yes
55,2,131,10619,3,11012,sell,yes
56,2,125,10750,2,11000,no trade,yes
57,2,133,10750,2,11016,sell,yes
58,2,127,10883,1,11010,buy,yes
59,2,140,10756,2,11036,sell,yes
60,2,133,10896,1,11029,no trade,yes
61,3,141,10896,1,11037,sell,yes
62,3,127,11037,0,11037,buy,yes
63,3,134,10910,1,11044,no trade,yes
64,3,126,10910,1,11036,buy,yes
65,3,133,10784,2,11050,sell,yes
66,3,120,10917,1,11037,buy,yes
67,3,126,10797,2,11049,sell,yes
68,3,114,10923,1,11037,buy,yes
69,3,120,10809,2,11049,sell,yes
70,3,108,10929,1,11037,buy,yes
71,3,114,10821,2,11049,sell,yes
72,3,103,10935,1,11038,buy,yes
73,3,109,10832,2,11050,sell,yes
74,3,99,10941,1,11040,buy,no
75,3,104,10842,2,11050,buy,yes
76,3,104,10738,3,11050,buy,yes
77,3,110,10634,4,11074,sell,yes
78,3,99,10744,3,11041,buy,yes
79,3,104,10645,4,11061,sell,yes
80,3,94,10749,3,11031,buy,yes
81,3,99,10655,4,11051,sell,yes
82,3,90,10754,3,11024,buy,no
83,3,95,10664,4,11044,buy,yes
84,3,95,10569,5,11044,buy,yes
85,3,100,10474,6,11074,sell,yes
86,3,90,10574,5,11024,no trade,yes
87,3,93,10574,5,11039,no trade,yes
88,3,88,10574,5,11014,no trade,yes
89,3,91,10574,5,11029,sell,yes
90,3,82,10665,4,10993,buy,yes
91,3,87,10583,5,11018,sell,yes
92,3,79,10670,4,10986,buy,yes
93,3,83,10591,5,11006,sell,yes
94,3,75,10674,4,10974,buy,yes
95,3,79,10599,5,10994,sell,yes
96,3,72,10678,4,10966,buy,yes
97,3,76,10606,5,10986,sell,yes
98,3,69,10682,4,10958,buy,yes
99,3,73,10613,5,10978,sell,yes
100,3,66,10686,4,10950,buy,yes
101,3,70,10620,5,10970,,
