Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,100,9900,11,11000,buy,yes
3,1,100,9800,12,11000,no trade,yes
4,1,97,9800,12,10964,buy,yes
5,1,102,9703,13,11029,sell,yes
6,1,97,9805,12,10969,buy,yes
7,1,97,9708,13,10969,no trade,yes
8,1,100,9708,13,11008,sell,yes
9,1,97,9808,12,10972,buy,yes
10,1,102,9711,13,11037,sell,yes
11,1,102,9813,12,11037,sell,yes
12,1,97,9915,11,10982,buy,yes
13,1,102,9818,12,11042,sell,yes
14,1,97,9920,11,10987,buy,yes
15,1,102,9823,12,11047,sell,yes
16,1,97,9925,11,10992,no trade,yes
17,1,97,9925,11,10992,buy,yes
18,1,100,9828,12,11028,sell,yes
19,1,95,9928,11,10973,buy,yes
20,1,98,9833,12,11009,sell,yes
21,2,96,9931,11,10987,buy,yes
22,2,102,9835,12,11059,sell,yes
23,2,97,9937,11,11004,buy,yes
24,2,103,9840,12,11076,sell,yes
25,2,98,9943,11,11021,buy,yes
26,2,108,9845,12,11141,sell,yes
27,2,103,9953,11,11086,sell,yes
28,2,98,10056,10,11036,buy,yes
29,2,108,9958,11,11146,sell,yes
30,2,103,10066,10,11096,sell,yes
31,2,98,10169,9,11051,buy,yes
32,2,98,10071,10,11051,buy,yes
33,2,108,9973,11,11161,sell,yes
34,2,108,10081,10,11161,sell,yes
35,2,103,10189,9,11116,sell,yes
36,2,100,10292,8,11092,buy,yes
37,2,106,10192,9,11146,sell,yes
38,2,101,10298,8,11106,sell,yes
39,2,98,10399,7,11085,buy,yes
40,2,104,10301,8,11133,sell,yes
41,2,101,10405,7,11112,sell,no
42,2,98,10506,6,11094,buy,yes
43,2,108,10408,7,11164,sell,no
44,2,103,10516,6,11134,sell,yes
45,2,100,10619,5,11119,buy,yes
46,2,106,10519,6,11155,sell,no
47,2,101,10625,5,11130,sell,yes
48,2,98,10726,4,11118,buy,yes
49,2,108,10628,5,11168,sell,yes
50,2,103,10736,4,11148,sell,yes
51,2,100,10839,3,11139,sell,yes
52,2,100,10939,2,11139,buy,yes
53,2,111,10839,3,11172,sell,yes
54,2,106,10950,2,11162,sell,yes
55,2,101,11056,1,11157,no trade,yes
56,2,101,11056,1,11157,sell,yes
57,2,98,11157,0,11157,buy,no
58,2,108,11059,1,11167,sell,yes
59,2,103,11167,0,11167,no trade,yes
60,2,103,11167,0,11167,no trade,no
61,3,103,11167,0,11167,buy,yes
62,3,107,11064,1,11171,sell,yes
63,3,97,11171,0,11171,buy,yes
64,3,102,11074,1,11176,no trade,yes
65,3,102,11074,1,11176,no trade,yes
66,3,102,11074,1,11176,no trade,yes
67,3,102,11074,1,11176,no trade,yes
68,3,102,11074,1,11176,sell,no
69,3,102,11176,0,11176,no trade,yes
70,3,106,11176,0,11176,buy,yes
71,3,106,11070,1,11176,no trade,no
72,3,100,11070,1,11170,buy,yes
73,3,103,10970,2,11176,sell,no
74,3,97,11073,1,11170,buy,yes
75,3,102,10976,2,11180,no trade,yes
76,3,102,10976,2,11180,buy,yes
77,3,108,10874,3,11198,sell,yes
78,3,98,10982,2,11178,buy,yes
79,3,103,10884,3,11193,sell,yes
80,3,93,10987,2,11173,buy,no
81,3,98,10894,3,11188,buy,yes
82,3,101,10796,4,11200,sell,yes
83,3,91,10897,3,11170,buy,yes
84,3,96,10806,4,11190,buy,yes
85,3,101,10710,5,11215,sell,yes
86,3,91,10811,4,11175,no trade,yes
87,3,91,10811,4,11175,sell,yes
88,3,91,10902,3,11175,no trade,yes
89,3,94,10902,3,11184,buy,yes
90,3,94,10808,4,11184,sell,yes
91,3,85,10902,3,11157,no trade,yes
92,3,88,10902,3,11166,no trade,yes
93,3,83,10902,3,11151,buy,yes
94,3,88,10819,4,11171,buy,yes
95,3,93,10731,5,11196,sell,yes
96,3,84,10824,4,11160,no trade,yes
97,3,79,10824,4,11140,no trade,yes
98,3,79,10824,4,11140,buy,yes
99,3,83,10745,5,11160,sell,yes
100,3,75,10828,4,11128,sell,yes
101,3,75,10903,3,11128,,
