Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,100,10100,9,11000,sell,yes
3,1,97,10200,8,10976,buy,yes
4,1,97,10103,9,10976,sell,yes
5,1,97,10200,8,10976,sell,yes
6,1,97,10297,7,10976,sell,yes
7,1,93,10394,6,10952,buy,yes
8,1,96,10301,7,10973,sell,yes
9,1,96,10397,6,10973,sell,no
10,1,94,10493,5,10963,buy,yes
11,1,97,10399,6,10981,sell,yes
12,1,95,10496,5,10971,sell,yes
13,1,93,10591,4,10963,buy,no
14,1,93,10498,5,10963,no trade,yes
15,1,93,10498,5,10963,buy,yes
16,1,96,10405,6,10981,sell,yes
17,1,94,10501,5,10971,no trade,yes
18,1,94,10501,5,10971,no trade,yes
19,1,94,10501,5,10971,no trade,yes
20,1,97,10501,5,10986,sell,yes
21,2,97,10598,4,10986,sell,yes
22,2,95,10695,3,10980,no trade,yes
23,2,101,10695,3,10998,sell,yes
24,2,96,10796,2,10988,no trade,yes
25,2,96,10796,2,10988,no trade,yes
26,2,96,10796,2,10988,no trade,yes
27,2,94,10796,2,10984,buy,yes
28,2,100,10702,3,11002,sell,yes
29,2,95,10802,2,10992,no trade,yes
30,2,101,10802,2,11004,sell,no
31,2,98,10903,1,11001,no trade,yes
32,2,96,10903,1,10999,no trade,yes
33,2,102,10903,1,11005,sell,yes
34,2,99,11005,0,11005,no trade,yes
35,2,99,11005,0,11005,no trade,yes
36,2,97,11005,0,11005,no trade,yes
37,2,97,11005,0,11005,no trade,yes
38,2,103,11005,0,11005,no trade,yes
39,2,100,11005,0,11005,no trade,yes
40,2,97,11005,0,11005,buy,yes
41,2,107,10908,1,11015,sell,yes
42,2,102,11015,0,11015,no trade,yes
43,2,102,11015,0,11015,no trade,yes
44,2,99,11015,0,11015,no trade,yes
45,2,99,11015,0,11015,no trade,yes
46,2,105,11015,0,11015,no trade,yes
47,2,102,11015,0,11015,no trade,yes
48,2,99,11015,0,11015,buy,no
49,2,109,10916,1,11025,sell,yes
50,2,104,11025,0,11025,no trade,yes
51,2,101,11025,0,11025,no trade,yes
52,2,98,11025,0,11025,no trade,yes
53,2,104,11025,0,11025,no trade,yes
54,2,101,11025,0,11025,no trade,yes
55,2,101,11025,0,11025,no trade,yes
56,2,108,11025,0,11025,no trade,yes
57,2,105,11025,0,11025,no trade,yes
58,2,112,11025,0,11025,no trade,yes
59,2,109,11025,0,11025,no trade,yes
60,2,116,11025,0,11025,no trade,yes
61,3,113,11025,0,11025,buy,yes
62,3,119,10912,1,11031,sell,yes
63,3,108,11031,0,11031,buy,yes
64,3,114,10923,1,11037,sell,yes
65,3,103,11037,0,11037,buy,yes
66,3,107,10934,1,11041,buy,yes
67,3,113,10827,2,11053,sell,yes
68,3,102,10940,1,11042,buy,yes
69,3,108,10838,2,11054,no trade,yes
70,3,102,10838,2,11042,buy,yes
71,3,108,10736,3,11060,sell,yes
72,3,98,10844,2,11040,buy,yes
73,3,103,10746,3,11055,sell,yes
74,3,93,10849,2,11035,buy,yes
75,3,96,10756,3,11044,no trade,yes
76,3,91,10756,3,11029,buy,yes
77,3,96,10665,4,11049,no trade,yes
78,3,91,10665,4,11029,no trade,yes
79,3,94,10665,4,11041,no trade,yes
80,3,97,10665,4,11053,sell,yes
81,3,88,10762,3,11026,no trade,yes
82,3,91,10762,3,11035,no trade,yes
83,3,86,10762,3,11020,buy,yes
84,3,89,10676,4,11032,no trade,yes
85,3,89,10676,4,11032,sell,yes
86,3,84,10765,3,11017,no trade,yes
87,3,87,10765,3,11026,no trade,yes
88,3,82,10765,3,11011,no trade,yes
89,3,85,10765,3,11020,sell,yes
90,3,77,10850,2,11004,buy,yes
91,3,81,10773,3,11016,no trade,yes
92,3,84,10773,3,11025,sell,yes
93,3,84,10857,2,11025,no trade,yes
94,3,79,10857,2,11015,no trade,yes
95,3,75,10857,2,11007,buy,yes
96,3,79,10782,3,11019,no trade,yes
97,3,75,10782,3,11007,no trade,yes
98,3,78,10782,3,11016,sell,yes
99,3,71,10860,2,11002,buy,yes
100,3,75,10789,3,11014,no trade,yes
101,3,71,10789,3,11002,,
