Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,yes
2,1,103,10000,10,11030,no trade,yes
3,1,100,10000,10,11000,buy,yes
4,1,103,9900,11,11033,buy,yes
5,1,103,9797,12,11033,no trade,yes
6,1,103,9797,12,11033,sell,yes
7,1,103,9900,11,11033,buy,no
8,1,103,9797,12,11033,sell,yes
9,1,98,9900,11,10978,sell,yes
10,1,98,9998,10,10978,sell,yes
11,1,96,10096,9,10960,sell,yes
12,1,96,10192,8,10960,sell,yes
13,1,94,10288,7,10946,buy,yes
14,1,99,10194,8,10986,no trade,yes
15,1,97,10194,8,10970,sell,yes
16,1,95,10291,7,10956,buy,yes
17,1,100,10196,8,10996,no trade,yes
18,1,97,10196,8,10972,buy,yes
19,1,102,10099,9,11017,sell,yes
20,1,99,10201,8,10993,sell,yes
21,2,99,10300,7,10993,buy,no
22,2,105,10201,8,11041,sell,no
23,2,102,10306,7,11020,sell,yes
24,2,99,10408,6,11002,buy,yes
25,2,109,10309,7,11072,sell,yes
26,2,104,10418,6,11042,sell,yes
27,2,99,10522,5,11017,no trade,yes
28,2,99,10522,5,11017,sell,yes
29,2,97,10621,4,11009,buy,yes
30,2,107,10524,5,11059,sell,yes
31,2,102,10631,4,11039,no trade,yes
32,2,99,10631,4,11027,buy,yes
33,2,105,10532,5,11057,sell,yes
34,2,100,10637,4,11037,no trade,yes
35,2,100,10637,4,11037,sell,yes
36,2,97,10737,3,11028,buy,yes
37,2,107,10640,4,11068,sell,yes
38,2,102,10747,3,11053,sell,yes
39,2,97,10849,2,11043,no trade,yes
40,2,103,10849,2,11055,sell,yes
41,2,98,10952,1,11050,buy,no
42,2,108,10854,2,11070,sell,yes
43,2,103,10962,1,11065,sell,yes
44,2,98,11065,0,11065,buy,yes
45,2,108,10967,1,11075,sell,no
46,2,103,11075,0,11075,no trade,yes
47,2,103,11075,0,11075,no trade,yes
48,2,103,11075,0,11075,no trade,yes
49,2,100,11075,0,11075,no trade,yes
50,2,100,11075,0,11075,no trade,yes
51,2,106,11075,0,11075,no trade,yes
52,2,103,11075,0,11075,no trade,no
53,2,103,11075,0,11075,no trade,yes
54,2,103,11075,0,11075,no trade,yes
55,2,103,11075,0,11075,no trade,yes
56,2,100,11075,0,11075,buy,yes
57,2,111,10975,1,11086,sell,yes
58,2,106,11086,0,11086,buy,no
59,2,106,10980,1,11086,buy,yes
60,2,113,10874,2,11100,sell,yes
61,3,108,10987,1,11095,no trade,yes
62,3,108,10987,1,11095,sell,yes
63,3,102,11095,0,11095,no trade,yes
64,3,102,11095,0,11095,buy,yes
65,3,106,10993,1,11099,sell,yes
66,3,100,11099,0,11099,buy,no
67,3,103,10999,1,11102,sell,no
68,3,97,11102,0,11102,buy,no
69,3,102,11005,1,11107,sell,no
70,3,96,11107,0,11107,buy,yes
71,3,101,11011,1,11112,sell,yes
72,3,95,11112,0,11112,buy,yes
73,3,100,11017,1,11117,buy,yes
74,3,103,10917,2,11123,buy,yes
75,3,103,10814,3,11123,buy,yes
76,3,107,10711,4,11139,sell,yes
77,3,97,10818,3,11109,no trade,yes
78,3,100,10818,3,11118,sell,yes
79,3,94,10918,2,11106,buy,yes
80,3,99,10824,3,11121,no trade,yes
81,3,99,10824,3,11121,buy,yes
82,3,102,10725,4,11133,no trade,yes
83,3,102,10725,4,11133,sell,yes
84,3,96,10827,3,11115,buy,yes
85,3,101,10731,4,11135,sell,yes
86,3,91,10832,3,11105,buy,yes
87,3,96,10741,4,11125,sell,yes
88,3,91,10837,3,11110,sell,yes
89,3,91,10928,2,11110,sell,yes
90,3,86,11019,1,11105,buy,yes
91,3,89,10933,2,11111,sell,yes
92,3,84,11022,1,11106,buy,yes
93,3,87,10938,2,11112,sell,yes
94,3,82,11025,1,11107,buy,yes
95,3,87,10943,2,11117,sell,yes
96,3,79,11030,1,11109,no trade,yes
97,3,82,11030,1,11112,sell,yes
98,3,74,11112,0,11112,no trade,yes
99,3,74,11112,0,11112,no trade,yes
100,3,74,11112,0,11112,no trade,yes
101,3,77,11112,0,11112,,
