Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,buy,no
3,1,105,9795,12,11055,no trade,no
4,1,105,9795,12,11055,sell,no
5,1,100,9900,11,11000,sell,no
6,1,97,10000,10,10970,sell,no
7,1,97,10097,9,10970,buy,no
8,1,100,10000,10,11000,sell,no
9,1,95,10100,9,10955,no trade,no
10,1,98,10100,9,10982,buy,no
11,1,103,10002,10,11032,sell,no
12,1,98,10105,9,10987,no trade,no
13,1,101,10105,9,11014,sell,no
14,1,96,10206,8,10974,buy,no
15,1,101,10110,9,11019,sell,no
16,1,96,10211,8,10979,buy,no
17,1,99,10115,9,11006,buy,no
18,1,102,10016,10,11036,no trade,no
19,1,99,10016,10,11006,buy,no
20,1,102,9917,11,11039,sell,no
21,2,97,10019,10,10989,sell,no
22,2,95,10116,9,10971,buy,no
23,2,101,10021,10,11031,no trade,no
24,2,98,10021,10,11001,buy,no
25,2,104,9923,11,11067,sell,no
26,2,99,10027,10,11017,sell,no
27,2,97,10126,9,10999,no trade,no
28,2,97,10126,9,10999,sell,no
29,2,95,10223,8,10983,buy,no
30,2,101,10128,9,11037,sell,no
31,2,96,10229,8,10997,buy,no
32,2,106,10133,9,11087,sell,no
33,2,101,10239,8,11047,no trade,no
34,2,101,10239,8,11047,no trade,no
35,2,101,10239,8,11047,no trade,no
36,2,101,10239,8,11047,sell,no
37,2,98,10340,7,11026,no trade,no
38,2,104,10340,7,11068,sell,no
39,2,99,10444,6,11038,no trade,no
40,2,99,10444,6,11038,buy,no
41,2,105,10345,7,11080,sell,no
42,2,100,10450,6,11050,sell,no
43,2,97,10550,5,11035,no trade,no
44,2,97,10550,5,11035,no trade,no
45,2,97,10550,5,11035,buy,no
46,2,103,10453,6,11071,buy,no
47,2,103,10350,7,11071,sell,no
48,2,98,10453,6,11041,no trade,no
49,2,98,10453,6,11041,sell,no
50,2,96,10551,5,11031,buy,no
51,2,102,10455,6,11067,sell,no
52,2,97,10557,5,11042,sell,no
53,2,97,10654,4,11042,buy,no
54,2,103,10557,5,11072,no trade,no
55,2,100,10557,5,11057,no trade,no
56,2,100,10557,5,11057,sell,no
57,2,97,10657,4,11045,buy,no
58,2,103,10560,5,11075,sell,no
59,2,98,10663,4,11055,no trade,no
60,2,104,10663,4,11079,sell,no
61,3,99,10767,3,11064,no trade,no
62,3,102,10767,3,11073,sell,no
63,3,92,10869,2,11053,buy,no
64,3,97,10777,3,11068,buy,no
65,3,97,10680,4,11068,no trade,no
66,3,97,10680,4,11068,buy,no
67,3,100,10583,5,11083,buy,no
68,3,103,10483,6,11101,sell,no
69,3,97,10586,5,11071,sell,no
70,3,97,10683,4,11071,sell,no
71,3,92,10780,3,11056,buy,no
72,3,97,10688,4,11076,no trade,no
73,3,92,10688,4,11056,buy,no
74,3,95,10596,5,11071,no trade,no
75,3,95,10596,5,11071,buy,no
76,3,98,10501,6,11089,buy,no
77,3,98,10403,7,11089,sell,no
78,3,93,10501,6,11059,buy,no
79,3,98,10408,7,11094,sell,no
80,3,89,10506,6,11040,no trade,no
81,3,92,10506,6,11058,sell,no
82,3,83,10598,5,11013,no trade,no
83,3,86,10598,5,11028,buy,no
84,3,86,10512,6,11028,no trade,no
85,3,86,10512,6,11028,buy,no
86,3,89,10426,7,11049,sell,no
87,3,84,10515,6,11019,buy,no
88,3,89,10431,7,11054,buy,no
89,3,89,10342,8,11054,sell,no
90,3,84,10431,7,11019,no trade,no
91,3,87,10431,7,11040,sell,no
92,3,79,10518,6,10992,buy,no
93,3,83,10439,7,11020,no trade,no
94,3,79,10439,7,10992,no trade,no
95,3,82,10439,7,11013,sell,no
96,3,74,10521,6,10965,buy,no
97,3,78,10447,7,10993,no trade,no
98,3,74,10447,7,10965,no trade,no
99,3,77,10447,7,10986,buy,no
100,3,77,10370,8,10986,sell,no
101,3,73,10447,7,10958,,
