Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,103,10000,10,11030,sell,no
3,1,103,10103,9,11030,no trade,no
4,1,107,10103,9,11066,no trade,no
5,1,104,10103,9,11039,buy,no
6,1,108,9999,10,11079,sell,no
7,1,108,10107,9,11079,no trade,no
8,1,112,10107,9,11115,sell,no
9,1,112,10219,8,11115,no trade,no
10,1,109,10219,8,11091,buy,no
11,1,115,10110,9,11145,sell,no
12,1,110,10225,8,11105,buy,no
13,1,114,10115,9,11141,sell,no
14,1,111,10229,8,11117,buy,no
15,1,115,10118,9,11153,sell,no
16,1,110,10233,8,11113,buy,no
17,1,116,10123,9,11167,sell,no
18,1,111,10239,8,11127,buy,no
19,1,117,10128,9,11181,sell,no
20,1,112,10245,8,11141,buy,no
21,2,118,10133,9,11195,sell,no
22,2,115,10251,8,11171,no trade,no
23,2,115,10251,8,11171,no trade,no
24,2,115,10251,8,11171,no trade,no
25,2,122,10251,8,11227,sell,yes
26,2,116,10373,7,11185,no trade,no
27,2,123,10373,7,11234,sell,no
28,2,117,10496,6,11198,no trade,no
29,2,117,10496,6,11198,no trade,no
30,2,125,10496,6,11246,sell,no
31,2,119,10621,5,11216,no trade,no
32,2,119,10621,5,11216,no trade,no
33,2,116,10621,5,11201,no trade,no
34,2,123,10621,5,11236,sell,no
35,2,117,10744,4,11212,buy,no
36,2,129,10627,5,11272,sell,no
37,2,123,10756,4,11248,no trade,no
38,2,123,10756,4,11248,no trade,no
39,2,123,10756,4,11248,no trade,yes
40,2,123,10756,4,11248,no trade,yes
41,2,131,10756,4,11280,sell,no
42,2,125,10887,3,11262,buy,no
43,2,133,10762,4,11294,sell,no
44,2,133,10895,3,11294,no trade,no
45,2,141,10895,3,11318,no trade,no
46,2,137,10895,3,11306,buy,no
47,2,137,10758,4,11306,no trade,no
48,2,146,10758,4,11342,sell,yes
49,2,139,10904,3,11321,buy,no
50,2,153,10765,4,11377,sell,no
51,2,146,10918,3,11356,buy,yes
52,2,161,10772,4,11416,sell,no
53,2,153,10933,3,11392,buy,yes
54,2,163,10780,4,11432,sell,yes
55,2,155,10943,3,11408,buy,no
56,2,171,10788,4,11472,sell,no
57,2,166,10959,3,11457,buy,no
58,2,183,10793,4,11525,sell,no
59,2,174,10976,3,11498,buy,yes
60,2,192,10802,4,11570,sell,no
61,3,183,10994,3,11543,buy,yes
62,3,193,10811,4,11583,sell,no
63,3,174,11004,3,11526,buy,no
64,3,183,10830,4,11562,sell,yes
65,3,165,11013,3,11508,buy,yes
66,3,174,10848,4,11544,sell,no
67,3,174,11022,3,11544,no trade,yes
68,3,180,11022,3,11562,sell,yes
69,3,180,11202,2,11562,no trade,yes
70,3,186,11202,2,11574,sell,yes
71,3,168,11388,1,11556,buy,yes
72,3,177,11220,2,11574,sell,yes
73,3,160,11397,1,11557,buy,yes
74,3,160,11237,2,11557,buy,no
75,3,165,11077,3,11572,no trade,yes
76,3,156,11077,3,11545,buy,yes
77,3,164,10921,4,11577,sell,no
78,3,155,11085,3,11550,buy,no
79,3,163,10930,4,11582,sell,yes
80,3,163,11093,3,11582,no trade,no
81,3,154,11093,3,11555,buy,no
82,3,154,10939,4,11555,buy,yes
83,3,154,10785,5,11555,no trade,yes
84,3,145,10785,5,11510,buy,yes
85,3,153,10640,6,11558,sell,yes
86,3,144,10793,5,11513,no trade,no
87,3,149,10793,5,11538,no trade,yes
88,3,154,10793,5,11563,no trade,yes
89,3,145,10793,5,11518,no trade,yes
90,3,150,10793,5,11543,sell,no
91,3,135,10943,4,11483,buy,yes
92,3,142,10808,5,11518,sell,no
93,3,128,10950,4,11462,buy,yes
94,3,128,10822,5,11462,no trade,no
95,3,121,10822,5,11427,no trade,no
96,3,114,10822,5,11392,no trade,yes
97,3,108,10822,5,11362,no trade,yes
98,3,108,10822,5,11362,buy,yes
99,3,114,10714,6,11398,sell,yes
100,3,114,10828,5,11398,sell,no
101,3,103,10942,4,11354,,
