Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,103,10000,10,11030,buy,yes
3,1,103,9897,11,11030,no trade,no
4,1,103,9897,11,11030,buy,yes
5,1,103,9794,12,11030,sell,no
6,1,100,9897,11,10997,sell,yes
7,1,95,9997,10,10947,buy,yes
8,1,100,9902,11,11002,sell,yes
9,1,95,10002,10,10952,no trade,yes
10,1,93,10002,10,10932,buy,yes
11,1,93,9909,11,10932,no trade,yes
12,1,96,9909,11,10965,buy,yes
13,1,96,9813,12,10965,no trade,yes
14,1,94,9813,12,10941,buy,no
15,1,94,9719,13,10941,no trade,no
16,1,97,9719,13,10980,buy,no
17,1,100,9622,14,11022,sell,no
18,1,95,9722,13,10957,buy,yes
19,1,98,9627,14,10999,buy,no
20,1,103,9529,15,11074,sell,no
21,2,98,9632,14,11004,sell,yes
22,2,98,9730,13,11004,sell,yes
23,2,96,9828,12,10980,no trade,yes
24,2,102,9828,12,11052,sell,yes
25,2,99,9930,11,11019,no trade,yes
26,2,105,9930,11,11085,sell,no
27,2,100,10035,10,11035,sell,yes
28,2,100,10135,9,11035,no trade,no
29,2,100,10135,9,11035,no trade,no
30,2,106,10135,9,11089,sell,no
31,2,101,10241,8,11049,sell,yes
32,2,98,10342,7,11028,buy,no
33,2,104,10244,8,11076,buy,no
34,2,104,10140,9,11076,buy,yes
35,2,111,10036,10,11146,buy,no
36,2,111,9925,11,11146,sell,yes
37,2,106,10036,10,11096,sell,no
38,2,101,10142,9,11051,buy,yes
39,2,108,10041,10,11121,no trade,yes
40,2,105,10041,10,11091,buy,yes
41,2,112,9936,11,11168,sell,no
42,2,107,10048,10,11118,sell,yes
43,2,102,10155,9,11073,sell,yes
44,2,102,10257,8,11073,sell,yes
45,2,102,10359,7,11073,sell,yes
46,2,102,10461,6,11073,no trade,yes
47,2,109,10461,6,11115,sell,no
48,2,106,10570,5,11100,no trade,yes
49,2,106,10570,5,11100,sell,yes
50,2,101,10676,4,11080,buy,yes
51,2,112,10575,5,11135,sell,no
52,2,107,10687,4,11115,no trade,yes
53,2,104,10687,4,11103,buy,yes
54,2,111,10583,5,11138,sell,yes
55,2,106,10694,4,11118,no trade,no
56,2,106,10694,4,11118,no trade,yes
57,2,106,10694,4,11118,buy,yes
58,2,113,10588,5,11153,sell,no
59,2,108,10701,4,11133,sell,yes
60,2,105,10809,3,11124,buy,no
61,3,112,10704,4,11152,buy,no
62,3,116,10592,5,11172,sell,no
63,3,110,10708,4,11148,no trade,yes
64,3,110,10708,4,11148,sell,no
65,3,104,10818,3,11130,buy,yes
66,3,110,10714,4,11154,sell,yes
67,3,104,10824,3,11136,buy,no
68,3,108,10720,4,11152,buy,yes
69,3,112,10612,5,11172,sell,no
70,3,106,10724,4,11148,no trade,no
71,3,110,10724,4,11164,sell,no
72,3,104,10834,3,11146,buy,yes
73,3,108,10730,4,11162,no trade,no
74,3,102,10730,4,11138,buy,no
75,3,108,10628,5,11168,sell,no
76,3,102,10736,4,11144,no trade,yes
77,3,106,10736,4,11160,no trade,yes
78,3,100,10736,4,11136,buy,no
79,3,105,10636,5,11161,buy,no
80,3,105,10531,6,11161,buy,no
81,3,111,10426,7,11203,sell,no
82,3,100,10537,6,11137,sell,no
83,3,100,10637,5,11137,sell,yes
84,3,94,10737,4,11113,buy,no
85,3,99,10643,5,11138,no trade,no
86,3,102,10643,5,11153,no trade,no
87,3,102,10643,5,11153,sell,yes
88,3,102,10745,4,11153,sell,no
89,3,96,10847,3,11135,sell,no
90,3,96,10943,2,11135,no trade,no
91,3,96,10943,2,11135,no trade,no
92,3,99,10943,2,11141,no trade,yes
93,3,102,10943,2,11147,no trade,no
94,3,102,10943,2,11147,no trade,no
95,3,106,10943,2,11155,buy,no
96,3,112,10837,3,11173,sell,no
97,3,101,10949,2,11151,buy,no
98,3,101,10848,3,11151,no trade,no
99,3,101,10848,3,11151,no trade,no
100,3,95,10848,3,11133,buy,yes
101,3,100,10753,4,11153,,
