Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,yes
2,1,100,9900,11,11000,buy,yes
3,1,100,9800,12,11000,sell,yes
4,1,95,9900,11,10945,no trade,yes
5,1,93,9900,11,10923,no trade,yes
6,1,91,9900,11,10901,no trade,yes
7,1,94,9900,11,10934,buy,yes
8,1,94,9806,12,10934,buy,yes
9,1,94,9712,13,10934,buy,yes
10,1,99,9618,14,11004,buy,yes
11,1,99,9519,15,11004,sell,yes
12,1,95,9618,14,10948,no trade,yes
13,1,95,9618,14,10948,buy,yes
14,1,95,9523,15,10948,no trade,yes
15,1,95,9523,15,10948,no trade,yes
16,1,95,9523,15,10948,no trade,yes
17,1,93,9523,15,10918,buy,yes
18,1,96,9430,16,10966,no trade,yes
19,1,99,9430,16,11014,sell,yes
20,1,95,9529,15,10954,sell,yes
21,2,95,9624,14,10954,no trade,yes
22,2,95,9624,14,10954,no trade,yes
23,2,95,9624,14,10954,sell,yes
24,2,93,9719,13,10928,sell,yes
25,2,93,9812,12,10928,sell,yes
26,2,91,9905,11,10906,no trade,yes
27,2,97,9905,11,10972,no trade,yes
28,2,95,9905,11,10950,sell,yes
29,2,95,10000,10,10950,sell,yes
30,2,91,10095,9,10914,sell,yes
31,2,89,10186,8,10898,no trade,yes
32,2,95,10186,8,10946,sell,yes
33,2,91,10281,7,10918,no trade,yes
34,2,97,10281,7,10960,sell,yes
35,2,93,10378,6,10936,no trade,yes
36,2,99,10378,6,10972,sell,no
37,2,97,10477,5,10962,sell,yes
38,2,93,10574,4,10946,no trade,yes
39,2,93,10574,4,10946,no trade,yes
40,2,93,10574,4,10946,no trade,yes
41,2,93,10574,4,10946,no trade,yes
42,2,99,10574,4,10970,sell,yes
43,2,95,10673,3,10958,no trade,yes
44,2,95,10673,3,10958,no trade,yes
45,2,95,10673,3,10958,no trade,yes
46,2,95,10673,3,10958,no trade,yes
47,2,93,10673,3,10952,no trade,yes
48,2,93,10673,3,10952,no trade,yes
49,2,93,10673,3,10952,no trade,yes
50,2,99,10673,3,10970,sell,yes
51,2,95,10772,2,10962,no trade,yes
52,2,101,10772,2,10974,sell,yes
53,2,96,10873,1,10969,no trade,yes
54,2,102,10873,1,10975,sell,no
55,2,97,10975,0,10975,no trade,yes
56,2,103,10975,0,10975,no trade,yes
57,2,100,10975,0,10975,buy,yes
58,2,111,10875,1,10986,sell,no
59,2,106,10986,0,10986,no trade,yes
60,2,106,10986,0,10986,no trade,yes
61,3,103,10986,0,10986,no trade,yes
62,3,107,10986,0,10986,no trade,yes
63,3,111,10986,0,10986,no trade,yes
64,3,105,10986,0,10986,no trade,yes
65,3,109,10986,0,10986,no trade,yes
66,3,103,10986,0,10986,buy,yes
67,3,109,10883,1,10992,sell,yes
68,3,99,10992,0,10992,no trade,yes
69,3,102,10992,0,10992,no trade,yes
70,3,102,10992,0,10992,no trade,yes
71,3,106,10992,0,10992,no trade,yes
72,3,100,10992,0,10992,buy,yes
73,3,105,10892,1,10997,sell,yes
74,3,95,10997,0,10997,buy,yes
75,3,100,10902,1,11002,sell,yes
76,3,90,11002,0,11002,buy,yes
77,3,95,10912,1,11007,sell,yes
78,3,90,11007,0,11007,no trade,yes
79,3,93,11007,0,11007,no trade,yes
80,3,96,11007,0,11007,buy,yes
81,3,99,10911,1,11010,sell,yes
82,3,90,11010,0,11010,buy,yes
83,3,90,10920,1,11010,no trade,yes
84,3,85,10920,1,11005,no trade,yes
85,3,88,10920,1,11008,buy,yes
86,3,88,10832,2,11008,no trade,yes
87,3,83,10832,2,10998,no trade,yes
88,3,79,10832,2,10990,no trade,yes
89,3,82,10832,2,10996,buy,yes
90,3,82,10750,3,10996,sell,yes
91,3,78,10832,2,10988,buy,yes
92,3,82,10754,3,11000,sell,yes
93,3,78,10836,2,10992,no trade,yes
94,3,81,10836,2,10998,sell,yes
95,3,73,10917,1,10990,buy,yes
96,3,77,10844,2,10998,sell,yes
97,3,73,10921,1,10994,no trade,yes
98,3,76,10921,1,10997,sell,yes
99,3,69,10997,0,10997,buy,yes
100,3,73,10928,1,11001,sell,yes
101,3,66,11001,0,11001,,
