Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,no trade,no
3,1,102,9900,11,11022,no trade,no
4,1,106,9900,11,11066,sell,no
5,1,101,10006,10,11016,buy,no
6,1,107,9905,11,11082,sell,no
7,1,102,10012,10,11032,sell,no
8,1,99,10114,9,11005,no trade,no
9,1,102,10114,9,11032,no trade,no
10,1,99,10114,9,11005,buy,no
11,1,102,10015,10,11035,no trade,no
12,1,99,10015,10,11005,no trade,no
13,1,99,10015,10,11005,sell,no
14,1,97,10114,9,10987,no trade,no
15,1,100,10114,9,11014,no trade,no
16,1,97,10114,9,10987,buy,no
17,1,100,10017,10,11017,sell,no
18,1,97,10117,9,10990,buy,no
19,1,100,10020,10,11020,no trade,no
20,1,97,10020,10,10990,buy,no
21,2,102,9923,11,11045,no trade,no
22,2,99,9923,11,11012,no trade,no
23,2,105,9923,11,11078,sell,no
24,2,100,10028,10,11028,no trade,no
25,2,106,10028,10,11088,sell,yes
26,2,101,10134,9,11043,sell,no
27,2,98,10235,8,11019,no trade,yes
28,2,104,10235,8,11067,sell,no
29,2,101,10339,7,11046,no trade,no
30,2,101,10339,7,11046,sell,no
31,2,98,10440,6,11028,buy,yes
32,2,108,10342,7,11098,sell,no
33,2,103,10450,6,11068,no trade,no
34,2,103,10450,6,11068,no trade,no
35,2,103,10450,6,11068,buy,no
36,2,110,10347,7,11117,sell,yes
37,2,105,10457,6,11087,sell,no
38,2,102,10562,5,11072,no trade,no
39,2,102,10562,5,11072,no trade,yes
40,2,102,10562,5,11072,no trade,no
41,2,102,10562,5,11072,sell,no
42,2,99,10664,4,11060,buy,no
43,2,109,10565,5,11110,sell,yes
44,2,104,10674,4,11090,buy,no
45,2,111,10570,5,11125,sell,no
46,2,106,10681,4,11105,no trade,no
47,2,106,10681,4,11105,sell,no
48,2,103,10787,3,11096,buy,no
49,2,110,10684,4,11124,sell,no
50,2,107,10794,3,11115,buy,no
51,2,114,10687,4,11143,sell,yes
52,2,109,10801,3,11128,no trade,no
53,2,109,10801,3,11128,buy,no
54,2,120,10692,4,11172,sell,yes
55,2,114,10812,3,11154,buy,yes
56,2,114,10698,4,11154,no trade,no
57,2,111,10698,4,11142,no trade,no
58,2,111,10698,4,11142,buy,yes
59,2,118,10587,5,11177,buy,yes
60,2,118,10469,6,11177,no trade,yes
61,3,115,10469,6,11159,no trade,no
62,3,115,10469,6,11159,no trade,yes
63,3,109,10469,6,11123,buy,yes
64,3,115,10360,7,11165,no trade,yes
65,3,109,10360,7,11123,buy,yes
66,3,113,10251,8,11155,sell,yes
67,3,107,10364,7,11113,no trade,no
68,3,111,10364,7,11141,buy,no
69,3,115,10253,8,11173,sell,no
70,3,104,10368,7,11096,buy,yes
71,3,110,10264,8,11144,no trade,yes
72,3,104,10264,8,11096,buy,yes
73,3,110,10160,9,11150,no trade,no
74,3,110,10160,9,11150,sell,yes
75,3,104,10270,8,11102,buy,yes
76,3,110,10166,9,11156,sell,yes
77,3,104,10276,8,11108,buy,yes
78,3,108,10172,9,11144,buy,no
79,3,112,10064,10,11184,no trade,yes
80,3,106,10064,10,11124,no trade,yes
81,3,106,10064,10,11124,no trade,no
82,3,106,10064,10,11124,no trade,no
83,3,110,10064,10,11164,no trade,yes
84,3,104,10064,10,11104,sell,no
85,3,104,10168,9,11104,sell,yes
86,3,104,10272,8,11104,no trade,yes
87,3,104,10272,8,11104,buy,yes
88,3,108,10168,9,11140,no trade,yes
89,3,102,10168,9,11086,buy,yes
90,3,108,10066,10,11146,no trade,yes
91,3,102,10066,10,11086,buy,yes
92,3,108,9964,11,11152,no trade,yes
93,3,102,9964,11,11086,buy,yes
94,3,108,9862,12,11158,sell,yes
95,3,98,9970,11,11048,buy,yes
96,3,103,9872,12,11108,no trade,no
97,3,97,9872,12,11036,no trade,no
98,3,100,9872,12,11072,no trade,no
99,3,94,9872,12,11000,buy,yes
100,3,99,9778,13,11065,sell,yes
101,3,90,9877,12,10957,,
