Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,sell,no
3,1,102,10005,10,11025,buy,no
4,1,106,9903,11,11069,buy,no
5,1,106,9797,12,11069,no trade,no
6,1,110,9797,12,11117,sell,no
7,1,105,9907,11,11062,sell,no
8,1,105,10012,10,11062,sell,no
9,1,100,10117,9,11017,sell,no
10,1,97,10217,8,10993,sell,no
11,1,97,10314,7,10993,buy,no
12,1,97,10217,8,10993,buy,no
13,1,97,10120,9,10993,buy,no
14,1,102,10023,10,11043,sell,no
15,1,97,10125,9,10998,buy,no
16,1,102,10028,10,11048,sell,no
17,1,97,10130,9,11003,sell,no
18,1,97,10227,8,11003,sell,no
19,1,95,10324,7,10989,sell,no
20,1,95,10419,6,10989,sell,no
21,2,93,10514,5,10979,buy,no
22,2,103,10421,6,11039,sell,no
23,2,98,10524,5,11014,sell,no
24,2,94,10622,4,10998,buy,no
25,2,94,10528,5,10998,buy,no
26,2,100,10434,6,11034,sell,no
27,2,97,10534,5,11019,sell,no
28,2,95,10631,4,11011,buy,yes
29,2,95,10536,5,11011,sell,yes
30,2,93,10631,4,11003,sell,yes
31,2,93,10724,3,11003,buy,yes
32,2,103,10631,4,11043,sell,yes
33,2,98,10734,3,11028,sell,yes
34,2,96,10832,2,11024,sell,yes
35,2,96,10928,1,11024,buy,no
36,2,96,10832,2,11024,sell,yes
37,2,94,10928,1,11022,buy,yes
38,2,104,10834,2,11042,sell,yes
39,2,101,10938,1,11039,no trade,no
40,2,98,10938,1,11036,no trade,yes
41,2,96,10938,1,11034,no trade,no
42,2,96,10938,1,11034,no trade,yes
43,2,96,10938,1,11034,no trade,yes
44,2,94,10938,1,11032,buy,no
45,2,104,10844,2,11052,sell,yes
46,2,99,10948,1,11047,no trade,no
47,2,97,10948,1,11045,buy,no
48,2,107,10851,2,11065,sell,no
49,2,102,10958,1,11060,no trade,yes
50,2,99,10958,1,11057,no trade,no
51,2,97,10958,1,11055,no trade,no
52,2,103,10958,1,11061,no trade,no
53,2,100,10958,1,11058,no trade,no
54,2,97,10958,1,11055,no trade,no
55,2,103,10958,1,11061,sell,no
56,2,98,11061,0,11061,buy,no
57,2,104,10963,1,11067,sell,no
58,2,99,11067,0,11067,no trade,no
59,2,99,11067,0,11067,no trade,no
60,2,99,11067,0,11067,no trade,no
61,3,105,11067,0,11067,no trade,no
62,3,99,11067,0,11067,buy,yes
63,3,99,10968,1,11067,buy,no
64,3,102,10869,2,11073,sell,yes
65,3,92,10971,1,11063,buy,no
66,3,97,10879,2,11073,buy,yes
67,3,97,10782,3,11073,no trade,no
68,3,100,10782,3,11082,sell,no
69,3,94,10882,2,11070,buy,yes
70,3,99,10788,3,11085,sell,no
71,3,90,10887,2,11067,buy,no
72,3,95,10797,3,11082,no trade,no
73,3,95,10797,3,11082,no trade,no
74,3,95,10797,3,11082,no trade,yes
75,3,95,10797,3,11082,no trade,yes
76,3,95,10797,3,11082,sell,yes
77,3,86,10892,2,11064,buy,yes
78,3,91,10806,3,11079,sell,yes
79,3,86,10897,2,11069,buy,yes
80,3,91,10811,3,11084,buy,no
81,3,91,10720,4,11084,sell,yes
82,3,91,10811,3,11084,sell,no
83,3,86,10902,2,11074,sell,yes
84,3,86,10988,1,11074,buy,no
85,3,86,10902,2,11074,buy,no
86,3,86,10816,3,11074,buy,no
87,3,91,10730,4,11094,sell,no
88,3,82,10821,3,11067,buy,no
89,3,87,10739,4,11087,sell,no
90,3,79,10826,3,11063,buy,no
91,3,82,10747,4,11075,buy,yes
92,3,82,10665,5,11075,sell,no
93,3,78,10747,4,11059,buy,no
94,3,82,10669,5,11079,sell,no
95,3,74,10751,4,11047,buy,no
96,3,78,10677,5,11067,sell,no
97,3,71,10755,4,11039,buy,no
98,3,75,10684,5,11059,sell,yes
99,3,68,10759,4,11031,buy,no
100,3,72,10691,5,11051,sell,no
101,3,65,10763,4,11023,,
