Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,100,10000,10,11000,no trade,no
3,1,100,10000,10,11000,no trade,no
4,1,97,10000,10,10970,sell,no
5,1,95,10097,9,10952,buy,no
6,1,98,10002,10,10982,sell,yes
7,1,96,10100,9,10964,no trade,no
8,1,99,10100,9,10991,no trade,no
9,1,99,10100,9,10991,sell,no
10,1,95,10199,8,10959,buy,no
11,1,100,10104,9,11004,no trade,no
12,1,97,10104,9,10977,no trade,no
13,1,97,10104,9,10977,no trade,yes
14,1,97,10104,9,10977,buy,no
15,1,97,10007,10,10977,buy,no
16,1,97,9910,11,10977,sell,yes
17,1,95,10007,10,10957,buy,no
18,1,95,9912,11,10957,buy,no
19,1,100,9817,12,11017,no trade,no
20,1,97,9817,12,10981,sell,no
21,2,97,9914,11,10981,sell,yes
22,2,93,10011,10,10941,buy,no
23,2,103,9918,11,11051,sell,yes
24,2,98,10021,10,11001,sell,no
25,2,96,10119,9,10983,no trade,no
26,2,102,10119,9,11037,sell,no
27,2,97,10221,8,10997,buy,no
28,2,103,10124,9,11051,no trade,no
29,2,100,10124,9,11024,no trade,no
30,2,97,10124,9,10997,buy,no
31,2,107,10027,10,11097,sell,no
32,2,102,10134,9,11052,no trade,no
33,2,99,10134,9,11025,buy,no
34,2,105,10035,10,11085,sell,no
35,2,100,10140,9,11040,no trade,no
36,2,100,10140,9,11040,no trade,no
37,2,100,10140,9,11040,no trade,no
38,2,100,10140,9,11040,no trade,no
39,2,106,10140,9,11094,sell,no
40,2,106,10246,8,11094,no trade,no
41,2,103,10246,8,11070,no trade,no
42,2,103,10246,8,11070,no trade,no
43,2,100,10246,8,11046,no trade,no
44,2,100,10246,8,11046,no trade,no
45,2,100,10246,8,11046,no trade,no
46,2,100,10246,8,11046,no trade,no
47,2,100,10246,8,11046,no trade,yes
48,2,100,10246,8,11046,no trade,yes
49,2,100,10246,8,11046,no trade,yes
50,2,100,10246,8,11046,no trade,yes
51,2,100,10246,8,11046,no trade,yes
52,2,100,10246,8,11046,no trade,no
53,2,100,10246,8,11046,no trade,no
54,2,100,10246,8,11046,buy,yes
55,2,106,10146,9,11100,no trade,yes
56,2,103,10146,9,11073,no trade,no
57,2,103,10146,9,11073,no trade,no
58,2,103,10146,9,11073,buy,no
59,2,110,10043,10,11143,no trade,no
60,2,107,10043,10,11113,sell,no
61,3,104,10150,9,11086,no trade,yes
62,3,104,10150,9,11086,no trade,no
63,3,104,10150,9,11086,buy,no
64,3,108,10046,10,11126,sell,yes
65,3,102,10154,9,11072,no trade,no
66,3,106,10154,9,11108,sell,yes
67,3,100,10260,8,11060,buy,no
68,3,103,10160,9,11087,no trade,yes
69,3,103,10160,9,11087,no trade,yes
70,3,103,10160,9,11087,no trade,no
71,3,103,10160,9,11087,buy,no
72,3,107,10057,10,11127,no trade,yes
73,3,101,10057,10,11067,sell,yes
74,3,101,10158,9,11067,buy,no
75,3,105,10057,10,11107,no trade,no
76,3,99,10057,10,11047,buy,no
77,3,104,9958,11,11102,buy,no
78,3,104,9854,12,11102,no trade,no
79,3,104,9854,12,11102,buy,yes
80,3,108,9750,13,11154,no trade,no
81,3,108,9750,13,11154,no trade,no
82,3,108,9750,13,11154,no trade,no
83,3,108,9750,13,11154,sell,no
84,3,102,9858,12,11082,buy,yes
85,3,106,9756,13,11134,buy,no
86,3,110,9650,14,11190,no trade,no
87,3,110,9650,14,11190,sell,yes
88,3,104,9760,13,11112,buy,yes
89,3,108,9656,14,11168,sell,yes
90,3,102,9764,13,11090,no trade,yes
91,3,106,9764,13,11142,no trade,yes
92,3,100,9764,13,11064,buy,yes
93,3,105,9664,14,11134,buy,yes
94,3,109,9559,15,11194,buy,yes
95,3,115,9450,16,11290,sell,yes
96,3,104,9565,15,11125,no trade,yes
97,3,104,9565,15,11125,buy,no
98,3,108,9461,16,11189,buy,no
99,3,108,9353,17,11189,no trade,no
100,3,108,9353,17,11189,buy,no
101,3,112,9245,18,11261,,
