Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,buy,yes
3,1,111,9795,12,11127,buy,yes
4,1,115,9684,13,11179,buy,yes
5,1,121,9569,14,11263,no trade,yes
6,1,125,9569,14,11319,buy,yes
7,1,125,9444,15,11319,sell,yes
8,1,125,9569,14,11319,sell,yes
9,1,125,9694,13,11319,sell,yes
10,1,125,9819,12,11319,buy,yes
11,1,132,9694,13,11410,sell,no
12,1,126,9826,12,11338,no trade,yes
13,1,130,9826,12,11386,sell,no
14,1,130,9956,11,11386,buy,yes
15,1,137,9826,12,11470,sell,yes
16,1,131,9963,11,11404,no trade,yes
17,1,131,9963,11,11404,buy,yes
18,1,138,9832,12,11488,sell,yes
19,1,132,9970,11,11422,no trade,yes
20,1,136,9970,11,11466,sell,yes
21,2,132,10106,10,11426,no trade,no
22,2,140,10106,10,11506,sell,yes
23,2,133,10246,9,11443,buy,yes
24,2,147,10113,10,11583,sell,yes
25,2,140,10260,9,11520,sell,yes
26,2,140,10400,8,11520,no trade,yes
27,2,140,10400,8,11520,sell,yes
28,2,140,10540,7,11520,buy,yes
29,2,154,10400,8,11632,sell,no
30,2,147,10554,7,11583,no trade,yes
31,2,143,10554,7,11555,buy,no
32,2,158,10411,8,11675,sell,yes
33,2,151,10569,7,11626,sell,yes
34,2,144,10720,6,11584,buy,yes
35,2,144,10576,7,11584,buy,yes
36,2,144,10432,8,11584,sell,yes
37,2,137,10576,7,11535,buy,yes
38,2,137,10439,8,11535,no trade,yes
39,2,133,10439,8,11503,no trade,yes
40,2,130,10439,8,11479,no trade,yes
41,2,138,10439,8,11543,sell,yes
42,2,132,10577,7,11501,no trade,yes
43,2,140,10577,7,11557,sell,no
44,2,133,10717,6,11515,no trade,yes
45,2,141,10717,6,11563,sell,yes
46,2,134,10858,5,11528,buy,yes
47,2,134,10724,6,11528,buy,no
48,2,143,10590,7,11591,sell,yes
49,2,136,10733,6,11549,sell,no
50,2,130,10869,5,11519,buy,yes
51,2,143,10739,6,11597,sell,yes
52,2,136,10882,5,11562,sell,no
53,2,130,11018,4,11538,buy,no
54,2,143,10888,5,11603,sell,no
55,2,136,11031,4,11575,no trade,no
56,2,132,11031,4,11559,buy,yes
57,2,132,10899,5,11559,buy,no
58,2,140,10767,6,11607,sell,yes
59,2,133,10907,5,11572,no trade,yes
60,2,141,10907,5,11612,sell,yes
61,3,134,11048,4,11584,sell,no
62,3,134,11182,3,11584,buy,yes
63,3,139,11048,4,11604,no trade,yes
64,3,131,11048,4,11572,buy,yes
65,3,138,10917,5,11607,sell,no
66,3,125,11055,4,11555,buy,yes
67,3,132,10930,5,11590,no trade,no
68,3,125,10930,5,11555,buy,yes
69,3,132,10805,6,11597,no trade,yes
70,3,125,10805,6,11555,buy,no
71,3,132,10680,7,11604,no trade,no
72,3,125,10680,7,11555,buy,yes
73,3,129,10555,8,11587,buy,no
74,3,129,10426,9,11587,buy,no
75,3,133,10297,10,11627,sell,no
76,3,120,10430,9,11510,buy,no
77,3,126,10310,10,11570,no trade,yes
78,3,119,10310,10,11500,buy,yes
79,3,125,10191,11,11566,sell,no
80,3,113,10316,10,11446,buy,no
81,3,119,10203,11,11512,buy,no
82,3,119,10084,12,11512,sell,yes
83,3,112,10203,11,11435,no trade,no
84,3,116,10203,11,11479,no trade,yes
85,3,110,10203,11,11413,buy,yes
86,3,116,10093,12,11485,sell,no
87,3,105,10209,11,11364,buy,no
88,3,111,10104,12,11436,sell,yes
89,3,100,10215,11,11315,no trade,yes
90,3,103,10215,11,11348,no trade,yes
91,3,103,10215,11,11348,buy,yes
92,3,107,10112,12,11396,sell,yes
93,3,97,10219,11,11286,no trade,yes
94,3,100,10219,11,11319,no trade,yes
95,3,100,10219,11,11319,buy,yes
96,3,103,10119,12,11355,sell,yes
97,3,93,10222,11,11245,buy,yes
98,3,98,10129,12,11305,no trade,yes
99,3,93,10129,12,11245,no trade,yes
100,3,96,10129,12,11281,sell,yes
101,3,87,10225,11,11182,,
