Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,103,10000,10,11030,sell,no
3,1,100,10103,9,11003,sell,no
4,1,97,10203,8,10979,no trade,no
5,1,95,10203,8,10963,no trade,no
6,1,95,10203,8,10963,no trade,no
7,1,95,10203,8,10963,no trade,no
8,1,95,10203,8,10963,no trade,yes
9,1,93,10203,8,10947,no trade,yes
10,1,93,10203,8,10947,no trade,no
11,1,93,10203,8,10947,no trade,no
12,1,93,10203,8,10947,no trade,yes
13,1,93,10203,8,10947,no trade,no
14,1,93,10203,8,10947,no trade,no
15,1,91,10203,8,10931,no trade,yes
16,1,91,10203,8,10931,no trade,no
17,1,91,10203,8,10931,no trade,yes
18,1,89,10203,8,10915,no trade,no
19,1,89,10203,8,10915,no trade,no
20,1,89,10203,8,10915,buy,yes
21,2,92,10114,9,10942,no trade,yes
22,2,90,10114,9,10924,sell,yes
23,2,86,10204,8,10892,sell,no
24,2,82,10290,7,10864,sell,no
25,2,80,10372,6,10852,sell,no
26,2,76,10452,5,10832,no trade,yes
27,2,74,10452,5,10822,no trade,no
28,2,72,10452,5,10812,sell,yes
29,2,70,10524,4,10804,sell,yes
30,2,68,10594,3,10798,no trade,yes
31,2,68,10594,3,10798,no trade,no
32,2,73,10594,3,10813,no trade,yes
33,2,71,10594,3,10807,sell,no
34,2,69,10665,2,10803,no trade,yes
35,2,74,10665,2,10813,sell,no
36,2,71,10739,1,10810,no trade,no
37,2,76,10739,1,10815,sell,no
38,2,73,10815,0,10815,no trade,no
39,2,73,10815,0,10815,no trade,no
40,2,73,10815,0,10815,no trade,yes
41,2,73,10815,0,10815,no trade,yes
42,2,73,10815,0,10815,no trade,yes
43,2,73,10815,0,10815,buy,no
44,2,78,10742,1,10820,sell,no
45,2,78,10820,0,10820,no trade,no
46,2,76,10820,0,10820,buy,yes
47,2,81,10744,1,10825,sell,no
48,2,77,10825,0,10825,no trade,yes
49,2,77,10825,0,10825,buy,yes
50,2,82,10748,1,10830,sell,no
51,2,80,10830,0,10830,no trade,no
52,2,80,10830,0,10830,no trade,yes
53,2,80,10830,0,10830,buy,no
54,2,85,10750,1,10835,sell,no
55,2,83,10835,0,10835,no trade,no
56,2,88,10835,0,10835,buy,yes
57,2,97,10747,1,10844,sell,no
58,2,97,10844,0,10844,buy,no
59,2,107,10747,1,10854,sell,no
60,2,102,10854,0,10854,buy,no
61,3,102,10752,1,10854,sell,no
62,3,96,10854,0,10854,buy,no
63,3,101,10758,1,10859,sell,no
64,3,101,10859,0,10859,buy,no
65,3,107,10758,1,10865,sell,no
66,3,97,10865,0,10865,buy,no
67,3,97,10768,1,10865,sell,no
68,3,88,10865,0,10865,buy,no
69,3,88,10777,1,10865,sell,no
70,3,83,10865,0,10865,buy,yes
71,3,83,10782,1,10865,sell,no
72,3,83,10865,0,10865,buy,no
73,3,86,10782,1,10868,sell,no
74,3,86,10868,0,10868,buy,no
75,3,91,10782,1,10873,sell,no
76,3,91,10873,0,10873,buy,no
77,3,91,10782,1,10873,no trade,no
78,3,86,10782,1,10868,buy,no
79,3,86,10696,2,10868,sell,no
80,3,81,10782,1,10863,buy,no
81,3,84,10701,2,10869,sell,no
82,3,79,10785,1,10864,buy,no
83,3,82,10706,2,10870,sell,no
84,3,82,10788,1,10870,sell,no
85,3,82,10870,0,10870,buy,no
86,3,85,10788,1,10873,sell,no
87,3,77,10873,0,10873,buy,no
88,3,80,10796,1,10876,sell,no
89,3,72,10876,0,10876,buy,no
90,3,75,10804,1,10879,sell,no
91,3,71,10879,0,10879,buy,no
92,3,74,10808,1,10882,sell,no
93,3,70,10882,0,10882,buy,no
94,3,74,10812,1,10886,sell,no
95,3,74,10886,0,10886,buy,no
96,3,74,10812,1,10886,buy,no
97,3,74,10738,2,10886,no trade,no
98,3,74,10738,2,10886,sell,yes
99,3,70,10812,1,10882,buy,no
100,3,73,10742,2,10888,sell,no
101,3,69,10815,1,10884,,
