Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,sell,no
3,1,105,10005,10,11055,no trade,yes
4,1,105,10005,10,11055,sell,yes
5,1,100,10110,9,11010,no trade,yes
6,1,97,10110,9,10983,buy,yes
7,1,97,10013,10,10983,no trade,yes
8,1,100,10013,10,11013,sell,yes
9,1,95,10113,9,10968,buy,yes
10,1,98,10018,10,10998,buy,yes
11,1,103,9920,11,11053,sell,no
12,1,98,10023,10,11003,buy,no
13,1,101,9925,11,11036,sell,yes
14,1,96,10026,10,10986,buy,no
15,1,101,9930,11,11041,sell,no
16,1,96,10031,10,10991,no trade,yes
17,1,99,10031,10,11021,no trade,no
18,1,102,10031,10,11051,sell,no
19,1,99,10133,9,11024,no trade,no
20,1,102,10133,9,11051,sell,no
21,2,97,10235,8,11011,no trade,no
22,2,95,10235,8,10995,no trade,no
23,2,101,10235,8,11043,sell,yes
24,2,98,10336,7,11022,no trade,no
25,2,104,10336,7,11064,sell,no
26,2,99,10440,6,11034,no trade,yes
27,2,97,10440,6,11022,no trade,yes
28,2,97,10440,6,11022,no trade,yes
29,2,95,10440,6,11010,no trade,no
30,2,101,10440,6,11046,sell,yes
31,2,96,10541,5,11021,buy,yes
32,2,106,10445,6,11081,sell,no
33,2,101,10551,5,11056,no trade,no
34,2,101,10551,5,11056,no trade,yes
35,2,101,10551,5,11056,no trade,yes
36,2,101,10551,5,11056,no trade,yes
37,2,98,10551,5,11041,buy,yes
38,2,104,10453,6,11077,sell,yes
39,2,99,10557,5,11052,no trade,yes
40,2,99,10557,5,11052,no trade,yes
41,2,105,10557,5,11082,sell,yes
42,2,100,10662,4,11062,no trade,yes
43,2,97,10662,4,11050,no trade,yes
44,2,97,10662,4,11050,no trade,yes
45,2,97,10662,4,11050,no trade,yes
46,2,103,10662,4,11074,sell,yes
47,2,103,10765,3,11074,sell,yes
48,2,98,10868,2,11064,no trade,yes
49,2,98,10868,2,11064,no trade,yes
50,2,96,10868,2,11060,no trade,no
51,2,102,10868,2,11072,sell,no
52,2,97,10970,1,11067,buy,yes
53,2,97,10873,2,11067,no trade,yes
54,2,103,10873,2,11079,sell,no
55,2,100,10976,1,11076,no trade,no
56,2,100,10976,1,11076,no trade,yes
57,2,97,10976,1,11073,no trade,yes
58,2,103,10976,1,11079,sell,yes
59,2,98,11079,0,11079,buy,yes
60,2,104,10981,1,11085,sell,yes
61,3,99,11085,0,11085,buy,no
62,3,102,10986,1,11088,sell,no
63,3,92,11088,0,11088,buy,yes
64,3,97,10996,1,11093,sell,yes
65,3,97,11093,0,11093,no trade,yes
66,3,97,11093,0,11093,no trade,yes
67,3,100,11093,0,11093,no trade,yes
68,3,103,11093,0,11093,no trade,yes
69,3,97,11093,0,11093,buy,yes
70,3,97,10996,1,11093,no trade,yes
71,3,92,10996,1,11088,buy,yes
72,3,97,10904,2,11098,sell,no
73,3,92,11001,1,11093,no trade,yes
74,3,95,11001,1,11096,no trade,yes
75,3,95,11001,1,11096,no trade,yes
76,3,98,11001,1,11099,sell,yes
77,3,98,11099,0,11099,no trade,yes
78,3,93,11099,0,11099,buy,yes
79,3,98,11006,1,11104,sell,no
80,3,89,11104,0,11104,buy,yes
81,3,92,11015,1,11107,sell,yes
82,3,83,11107,0,11107,buy,yes
83,3,86,11024,1,11110,sell,no
84,3,86,11110,0,11110,no trade,yes
85,3,86,11110,0,11110,no trade,yes
86,3,89,11110,0,11110,no trade,yes
87,3,84,11110,0,11110,buy,yes
88,3,89,11026,1,11115,sell,yes
89,3,89,11115,0,11115,no trade,yes
90,3,84,11115,0,11115,buy,yes
91,3,87,11031,1,11118,sell,yes
92,3,79,11118,0,11118,buy,yes
93,3,83,11039,1,11122,sell,yes
94,3,79,11122,0,11122,buy,yes
95,3,82,11043,1,11125,sell,yes
96,3,74,11125,0,11125,buy,yes
97,3,78,11051,1,11129,sell,no
98,3,74,11129,0,11129,buy,yes
99,3,77,11055,1,11132,sell,no
100,3,77,11132,0,11132,no trade,yes
101,3,73,11132,0,11132,,
