Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,100,9900,11,11000,buy,no
3,1,103,9800,12,11036,buy,no
4,1,109,9697,13,11114,buy,no
5,1,109,9588,14,11114,sell,no
6,1,104,9697,13,11049,no trade,no
7,1,108,9697,13,11101,buy,yes
8,1,114,9589,14,11185,buy,no
9,1,120,9475,15,11275,buy,no
10,1,120,9355,16,11275,no trade,no
11,1,124,9355,16,11339,buy,no
12,1,124,9231,17,11339,sell,no
13,1,118,9355,16,11243,no trade,no
14,1,122,9355,16,11307,sell,no
15,1,116,9477,15,11217,buy,no
16,1,120,9361,16,11281,sell,no
17,1,117,9481,15,11236,buy,no
18,1,123,9364,16,11332,sell,no
19,1,123,9487,15,11332,no trade,no
20,1,120,9487,15,11287,no trade,no
21,2,117,9487,15,11242,buy,no
22,2,129,9370,16,11434,sell,no
23,2,129,9499,15,11434,no trade,no
24,2,126,9499,15,11389,sell,no
25,2,120,9625,14,11305,buy,no
26,2,132,9505,15,11485,sell,no
27,2,132,9637,14,11485,sell,no
28,2,132,9769,13,11485,sell,no
29,2,132,9901,12,11485,sell,no
30,2,126,10033,11,11419,sell,no
31,2,123,10159,10,11389,buy,no
32,2,136,10036,11,11532,sell,no
33,2,130,10172,10,11472,sell,no
34,2,124,10302,9,11418,no trade,no
35,2,132,10302,9,11490,sell,no
36,2,126,10434,8,11442,sell,no
37,2,123,10560,7,11421,no trade,no
38,2,120,10560,7,11400,buy,no
39,2,132,10440,8,11496,sell,no
40,2,126,10572,7,11454,sell,no
41,2,120,10698,6,11418,buy,no
42,2,120,10578,7,11418,buy,no
43,2,132,10458,8,11514,sell,no
44,2,126,10590,7,11472,sell,no
45,2,126,10716,6,11472,sell,no
46,2,126,10842,5,11472,sell,no
47,2,120,10968,4,11448,no trade,no
48,2,128,10968,4,11480,sell,no
49,2,128,11096,3,11480,sell,no
50,2,128,11224,2,11480,sell,no
51,2,125,11352,1,11477,buy,no
52,2,133,11227,2,11493,sell,no
53,2,127,11360,1,11487,sell,no
54,2,124,11487,0,11487,no trade,no
55,2,124,11487,0,11487,no trade,no
56,2,124,11487,0,11487,buy,no
57,2,132,11363,1,11495,sell,no
58,2,126,11495,0,11495,no trade,no
59,2,134,11495,0,11495,no trade,no
60,2,130,11495,0,11495,no trade,no
61,3,127,11495,0,11495,no trade,no
62,3,120,11495,0,11495,buy,no
63,3,126,11375,1,11501,buy,no
64,3,126,11249,2,11501,sell,no
65,3,119,11375,1,11494,buy,no
66,3,125,11256,2,11506,no trade,no
67,3,129,11256,2,11514,sell,no
68,3,129,11385,1,11514,sell,no
69,3,129,11514,0,11514,no trade,no
70,3,133,11514,0,11514,no trade,no
71,3,126,11514,0,11514,no trade,no
72,3,119,11514,0,11514,buy,no
73,3,125,11395,1,11520,sell,no
74,3,125,11520,0,11520,no trade,no
75,3,129,11520,0,11520,no trade,no
76,3,122,11520,0,11520,buy,no
77,3,126,11398,1,11524,sell,no
78,3,119,11524,0,11524,buy,no
79,3,125,11405,1,11530,sell,no
80,3,118,11530,0,11530,buy,no
81,3,124,11412,1,11536,sell,no
82,3,117,11536,0,11536,buy,no
83,3,123,11419,1,11542,sell,no
84,3,111,11542,0,11542,buy,no
85,3,117,11431,1,11548,buy,no
86,3,117,11314,2,11548,no trade,no
87,3,110,11314,2,11534,buy,no
88,3,116,11204,3,11552,sell,no
89,3,110,11320,2,11540,no trade,no
90,3,110,11320,2,11540,no trade,no
91,3,110,11320,2,11540,no trade,no
92,3,110,11320,2,11540,buy,no
93,3,114,11210,3,11552,sell,no
94,3,108,11324,2,11540,no trade,no
95,3,112,11324,2,11548,sell,no
96,3,101,11436,1,11537,buy,no
97,3,105,11335,2,11545,sell,no
98,3,99,11440,1,11539,buy,no
99,3,102,11341,2,11545,sell,no
100,3,96,11443,1,11539,buy,no
101,3,99,11347,2,11545,,
