Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,100,9900,11,11000,sell,yes
3,1,95,10000,10,10950,buy,no
4,1,98,9905,11,10983,buy,no
5,1,98,9807,12,10983,sell,yes
6,1,98,9905,11,10983,buy,yes
7,1,98,9807,12,10983,sell,yes
8,1,94,9905,11,10939,sell,yes
9,1,94,9999,10,10939,sell,yes
10,1,94,10093,9,10939,buy,no
11,1,99,9999,10,10989,buy,yes
12,1,99,9900,11,10989,sell,yes
13,1,95,9999,10,10949,buy,yes
14,1,98,9904,11,10982,sell,yes
15,1,94,10002,10,10942,buy,yes
16,1,99,9908,11,10997,sell,yes
17,1,95,10007,10,10957,no trade,yes
18,1,95,10007,10,10957,no trade,no
19,1,98,10007,10,10987,sell,no
20,1,94,10105,9,10951,no trade,yes
21,2,94,10105,9,10951,buy,yes
22,2,104,10011,10,11051,buy,yes
23,2,104,9907,11,11051,sell,yes
24,2,99,10011,10,11001,no trade,yes
25,2,99,10011,10,11001,no trade,yes
26,2,97,10011,10,10981,sell,no
27,2,97,10108,9,10981,no trade,yes
28,2,103,10108,9,11035,sell,no
29,2,98,10211,8,10995,no trade,yes
30,2,98,10211,8,10995,buy,no
31,2,104,10113,9,11049,sell,yes
32,2,99,10217,8,11009,buy,yes
33,2,105,10118,9,11063,sell,yes
34,2,100,10223,8,11023,buy,yes
35,2,111,10123,9,11122,sell,yes
36,2,106,10234,8,11082,buy,yes
37,2,113,10128,9,11145,sell,yes
38,2,108,10241,8,11105,buy,yes
39,2,119,10133,9,11204,sell,no
40,2,116,10252,8,11180,no trade,yes
41,2,116,10252,8,11180,buy,yes
42,2,116,10136,9,11180,no trade,yes
43,2,113,10136,9,11153,sell,yes
44,2,113,10249,8,11153,sell,yes
45,2,113,10362,7,11153,buy,yes
46,2,125,10249,8,11249,sell,yes
47,2,119,10374,7,11207,no trade,yes
48,2,116,10374,7,11186,buy,yes
49,2,128,10258,8,11282,sell,no
50,2,122,10386,7,11240,no trade,yes
51,2,119,10386,7,11219,buy,no
52,2,131,10267,8,11315,sell,no
53,2,125,10398,7,11273,no trade,yes
54,2,122,10398,7,11252,buy,no
55,2,130,10276,8,11316,sell,yes
56,2,127,10406,7,11295,no trade,yes
57,2,135,10406,7,11351,sell,no
58,2,131,10541,6,11327,no trade,yes
59,2,139,10541,6,11375,sell,yes
60,2,133,10680,5,11345,buy,yes
61,3,147,10547,6,11429,sell,yes
62,3,133,10694,5,11359,buy,yes
63,3,140,10561,6,11401,sell,yes
64,3,132,10701,5,11361,no trade,yes
65,3,136,10701,5,11381,buy,yes
66,3,141,10565,6,11411,sell,yes
67,3,127,10706,5,11341,buy,yes
68,3,134,10579,6,11383,no trade,yes
69,3,139,10579,6,11413,no trade,yes
70,3,131,10579,6,11365,no trade,yes
71,3,135,10579,6,11389,sell,yes
72,3,127,10714,5,11349,buy,yes
73,3,134,10587,6,11391,sell,yes
74,3,121,10721,5,11326,no trade,yes
75,3,125,10721,5,11346,buy,yes
76,3,129,10596,6,11370,no trade,yes
77,3,122,10596,6,11328,buy,yes
78,3,126,10474,7,11356,sell,yes
79,3,114,10600,6,11284,buy,yes
80,3,120,10486,7,11326,no trade,yes
81,3,113,10486,7,11277,buy,yes
82,3,117,10373,8,11309,sell,yes
83,3,110,10490,7,11260,buy,yes
84,3,116,10380,8,11308,no trade,yes
85,3,110,10380,8,11260,buy,yes
86,3,116,10270,9,11314,sell,yes
87,3,110,10386,8,11266,no trade,yes
88,3,114,10386,8,11298,buy,yes
89,3,114,10272,9,11298,no trade,yes
90,3,118,10272,9,11334,sell,yes
91,3,107,10390,8,11246,no trade,yes
92,3,111,10390,8,11278,sell,yes
93,3,105,10501,7,11236,no trade,yes
94,3,109,10501,7,11264,no trade,yes
95,3,103,10501,7,11222,no trade,yes
96,3,103,10501,7,11222,no trade,no
97,3,107,10501,7,11250,sell,no
98,3,97,10608,6,11190,no trade,yes
99,3,97,10608,6,11190,sell,yes
100,3,92,10705,5,11165,buy,yes
101,3,97,10613,6,11195,,
