Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,100,9900,11,11000,no trade,yes
3,1,97,9900,11,10967,buy,yes
4,1,97,9803,12,10967,no trade,yes
5,1,95,9803,12,10943,no trade,yes
6,1,93,9803,12,10919,sell,no
7,1,93,9896,11,10919,sell,yes
8,1,93,9989,10,10919,buy,yes
9,1,96,9896,11,10952,no trade,yes
10,1,99,9896,11,10985,sell,yes
11,1,95,9995,10,10945,buy,yes
12,1,95,9900,11,10945,buy,yes
13,1,98,9805,12,10981,sell,yes
14,1,96,9903,11,10959,sell,yes
15,1,94,9999,10,10939,no trade,no
16,1,94,9999,10,10939,sell,yes
17,1,92,10093,9,10921,sell,yes
18,1,90,10185,8,10905,sell,no
19,1,90,10275,7,10905,sell,yes
20,1,88,10365,6,10893,no trade,yes
21,2,86,10365,6,10881,sell,yes
22,2,84,10451,5,10871,buy,yes
23,2,84,10367,6,10871,buy,yes
24,2,84,10283,7,10871,no trade,yes
25,2,84,10283,7,10871,buy,yes
26,2,90,10199,8,10919,sell,yes
27,2,88,10289,7,10905,buy,yes
28,2,97,10201,8,10977,sell,yes
29,2,93,10298,7,10949,sell,no
30,2,89,10391,6,10925,no trade,yes
31,2,89,10391,6,10925,no trade,yes
32,2,89,10391,6,10925,sell,yes
33,2,89,10480,5,10925,no trade,yes
34,2,95,10480,5,10955,sell,yes
35,2,91,10575,4,10939,sell,yes
36,2,87,10666,3,10927,buy,yes
37,2,96,10579,4,10963,sell,yes
38,2,92,10675,3,10951,no trade,yes
39,2,90,10675,3,10945,no trade,yes
40,2,90,10675,3,10945,sell,yes
41,2,88,10765,2,10941,buy,yes
42,2,94,10677,3,10959,buy,yes
43,2,94,10583,4,10959,buy,yes
44,2,104,10489,5,11009,sell,yes
45,2,99,10593,4,10989,sell,yes
46,2,95,10692,3,10977,sell,yes
47,2,93,10787,2,10973,no trade,yes
48,2,93,10787,2,10973,no trade,yes
49,2,93,10787,2,10973,no trade,no
50,2,93,10787,2,10973,no trade,yes
51,2,99,10787,2,10985,buy,yes
52,2,99,10688,3,10985,buy,yes
53,2,105,10589,4,11009,sell,yes
54,2,105,10694,3,11009,sell,yes
55,2,100,10799,2,10999,sell,yes
56,2,97,10899,1,10996,no trade,yes
57,2,97,10899,1,10996,no trade,yes
58,2,97,10899,1,10996,no trade,yes
59,2,103,10899,1,11002,no trade,yes
60,2,100,10899,1,10999,buy,yes
61,3,106,10799,2,11011,buy,yes
62,3,110,10693,3,11023,sell,yes
63,3,110,10803,2,11023,sell,yes
64,3,99,10913,1,11012,no trade,yes
65,3,99,10913,1,11012,no trade,yes
66,3,99,10913,1,11012,no trade,no
67,3,99,10913,1,11012,no trade,yes
68,3,102,10913,1,11015,buy,yes
69,3,102,10811,2,11015,buy,yes
70,3,108,10709,3,11033,sell,yes
71,3,98,10817,2,11013,buy,yes
72,3,103,10719,3,11028,buy,yes
73,3,109,10616,4,11052,sell,yes
74,3,99,10725,3,11022,buy,yes
75,3,102,10626,4,11034,sell,yes
76,3,96,10728,3,11016,sell,yes
77,3,96,10824,2,11016,no trade,yes
78,3,99,10824,2,11022,no trade,yes
79,3,94,10824,2,11012,buy,yes
80,3,99,10730,3,11027,no trade,yes
81,3,99,10730,3,11027,buy,no
82,3,102,10631,4,11039,buy,yes
83,3,102,10529,5,11039,buy,yes
84,3,102,10427,6,11039,buy,yes
85,3,106,10325,7,11067,buy,yes
86,3,106,10219,8,11067,buy,yes
87,3,110,10113,9,11103,sell,yes
88,3,104,10223,8,11055,sell,yes
89,3,98,10327,7,11013,no trade,yes
90,3,98,10327,7,11013,sell,yes
91,3,93,10425,6,10983,no trade,yes
92,3,93,10425,6,10983,no trade,yes
93,3,93,10425,6,10983,no trade,yes
94,3,93,10425,6,10983,no trade,yes
95,3,96,10425,6,11001,no trade,yes
96,3,99,10425,6,11019,no trade,no
97,3,94,10425,6,10989,sell,yes
98,3,89,10519,5,10964,sell,yes
99,3,89,10608,4,10964,sell,yes
100,3,89,10697,3,10964,buy,yes
101,3,92,10608,4,10976,,
