Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,no trade,no
3,1,109,9900,11,11099,sell,no
4,1,109,10009,10,11099,sell,yes
5,1,104,10118,9,11054,no trade,no
6,1,101,10118,9,11027,no trade,yes
7,1,101,10118,9,11027,sell,yes
8,1,101,10219,8,11027,sell,yes
9,1,98,10320,7,11006,buy,yes
10,1,98,10222,8,11006,no trade,yes
11,1,96,10222,8,10990,buy,yes
12,1,99,10126,9,11017,sell,no
13,1,97,10225,8,11001,buy,yes
14,1,97,10128,9,11001,sell,yes
15,1,93,10225,8,10969,sell,yes
16,1,93,10318,7,10969,buy,yes
17,1,96,10225,8,10993,sell,yes
18,1,96,10321,7,10993,sell,yes
19,1,92,10417,6,10969,sell,yes
20,1,88,10509,5,10949,buy,yes
21,2,91,10421,6,10967,no trade,no
22,2,91,10421,6,10967,sell,yes
23,2,91,10512,5,10967,sell,yes
24,2,91,10603,4,10967,buy,yes
25,2,91,10512,5,10967,sell,yes
26,2,87,10603,4,10951,buy,yes
27,2,93,10516,5,10981,sell,no
28,2,89,10609,4,10965,sell,no
29,2,89,10698,3,10965,sell,yes
30,2,89,10787,2,10965,no trade,yes
31,2,87,10787,2,10961,buy,no
32,2,87,10700,3,10961,sell,yes
33,2,85,10787,2,10957,sell,yes
34,2,81,10872,1,10953,buy,yes
35,2,86,10791,2,10963,no trade,no
36,2,84,10791,2,10959,buy,no
37,2,90,10707,3,10977,sell,no
38,2,90,10797,2,10977,sell,no
39,2,86,10887,1,10973,buy,no
40,2,86,10801,2,10973,sell,yes
41,2,84,10887,1,10971,buy,no
42,2,93,10803,2,10989,no trade,yes
43,2,91,10803,2,10985,buy,yes
44,2,91,10712,3,10985,no trade,yes
45,2,91,10712,3,10985,sell,yes
46,2,89,10803,2,10981,sell,yes
47,2,89,10892,1,10981,buy,no
48,2,98,10803,2,10999,buy,yes
49,2,98,10705,3,10999,sell,yes
50,2,94,10803,2,10991,buy,no
51,2,94,10709,3,10991,no trade,yes
52,2,92,10709,3,10985,sell,yes
53,2,90,10801,2,10981,no trade,yes
54,2,90,10801,2,10981,sell,yes
55,2,90,10891,1,10981,buy,yes
56,2,100,10801,2,11001,no trade,yes
57,2,97,10801,2,10995,buy,yes
58,2,97,10704,3,10995,sell,yes
59,2,97,10801,2,10995,sell,yes
60,2,93,10898,1,10991,buy,no
61,3,99,10805,2,11003,sell,yes
62,3,94,10904,1,10998,buy,no
63,3,97,10810,2,11004,no trade,no
64,3,100,10810,2,11010,sell,yes
65,3,90,10910,1,11000,buy,no
66,3,93,10820,2,11006,buy,yes
67,3,98,10727,3,11021,sell,yes
68,3,89,10825,2,11003,sell,yes
69,3,84,10914,1,10998,buy,no
70,3,89,10830,2,11008,no trade,yes
71,3,89,10830,2,11008,buy,yes
72,3,92,10741,3,11017,sell,yes
73,3,92,10833,2,11017,sell,yes
74,3,83,10925,1,11008,sell,yes
75,3,79,11008,0,11008,no trade,no
76,3,79,11008,0,11008,buy,yes
77,3,83,10929,1,11012,buy,yes
78,3,86,10846,2,11018,sell,yes
79,3,78,10932,1,11010,buy,no
80,3,81,10854,2,11016,no trade,no
81,3,81,10854,2,11016,buy,yes
82,3,86,10773,3,11031,sell,yes
83,3,86,10859,2,11031,no trade,yes
84,3,89,10859,2,11037,sell,yes
85,3,84,10948,1,11032,buy,no
86,3,84,10864,2,11032,buy,yes
87,3,87,10780,3,11041,sell,yes
88,3,79,10867,2,11025,buy,yes
89,3,82,10788,3,11034,sell,yes
90,3,82,10870,2,11034,sell,yes
91,3,74,10952,1,11026,buy,no
92,3,77,10878,2,11032,buy,yes
93,3,77,10801,3,11032,sell,yes
94,3,73,10878,2,11024,buy,no
95,3,76,10805,3,11033,sell,yes
96,3,76,10881,2,11033,no trade,yes
97,3,72,10881,2,11025,buy,yes
98,3,75,10809,3,11034,buy,yes
99,3,78,10734,4,11046,sell,yes
100,3,71,10812,3,11025,sell,yes
101,3,67,10883,2,11017,,
