Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,97,10000,10,10970,sell,no
3,1,95,10097,9,10952,buy,yes
4,1,95,10002,10,10952,no trade,yes
5,1,95,10002,10,10952,buy,yes
6,1,98,9907,11,10985,buy,no
7,1,98,9809,12,10985,no trade,yes
8,1,98,9809,12,10985,sell,yes
9,1,96,9907,11,10963,no trade,yes
10,1,99,9907,11,10996,sell,no
11,1,95,10006,10,10956,no trade,no
12,1,98,10006,10,10986,no trade,yes
13,1,96,10006,10,10966,sell,yes
14,1,94,10102,9,10948,no trade,yes
15,1,97,10102,9,10975,no trade,no
16,1,95,10102,9,10957,sell,yes
17,1,93,10197,8,10941,buy,no
18,1,98,10104,9,10986,buy,no
19,1,98,10006,10,10986,sell,no
20,1,94,10104,9,10950,no trade,yes
21,2,97,10104,9,10977,buy,no
22,2,97,10007,10,10977,sell,no
23,2,95,10104,9,10959,buy,yes
24,2,105,10009,10,11059,no trade,yes
25,2,102,10009,10,11029,sell,no
26,2,97,10111,9,10984,no trade,yes
27,2,97,10111,9,10984,sell,yes
28,2,93,10208,8,10952,buy,yes
29,2,103,10115,9,11042,no trade,yes
30,2,100,10115,9,11015,sell,yes
31,2,95,10215,8,10975,no trade,yes
32,2,101,10215,8,11023,sell,yes
33,2,96,10316,7,10988,sell,yes
34,2,94,10412,6,10976,no trade,yes
35,2,100,10412,6,11012,sell,yes
36,2,95,10512,5,10987,buy,yes
37,2,101,10417,6,11023,sell,yes
38,2,96,10518,5,10998,no trade,yes
39,2,96,10518,5,10998,no trade,yes
40,2,96,10518,5,10998,buy,yes
41,2,102,10422,6,11034,no trade,yes
42,2,99,10422,6,11016,sell,no
43,2,97,10521,5,11006,no trade,yes
44,2,97,10521,5,11006,no trade,yes
45,2,97,10521,5,11006,sell,yes
46,2,95,10618,4,10998,buy,yes
47,2,105,10523,5,11048,no trade,yes
48,2,105,10523,5,11048,no trade,yes
49,2,102,10523,5,11033,sell,yes
50,2,99,10625,4,11021,no trade,yes
51,2,99,10625,4,11021,sell,yes
52,2,97,10724,3,11015,no trade,yes
53,2,103,10724,3,11033,sell,no
54,2,98,10827,2,11023,buy,yes
55,2,104,10729,3,11041,sell,yes
56,2,101,10833,2,11035,no trade,yes
57,2,101,10833,2,11035,buy,yes
58,2,108,10732,3,11056,sell,yes
59,2,103,10840,2,11046,no trade,yes
60,2,103,10840,2,11046,no trade,yes
61,3,110,10840,2,11060,sell,no
62,3,99,10950,1,11049,sell,no
63,3,99,11049,0,11049,buy,yes
64,3,104,10950,1,11054,buy,yes
65,3,104,10846,2,11054,buy,no
66,3,108,10742,3,11066,no trade,yes
67,3,102,10742,3,11048,no trade,yes
68,3,102,10742,3,11048,sell,no
69,3,96,10844,2,11036,no trade,yes
70,3,99,10844,2,11042,buy,yes
71,3,104,10745,3,11057,no trade,yes
72,3,104,10745,3,11057,no trade,yes
73,3,104,10745,3,11057,no trade,yes
74,3,98,10745,3,11039,no trade,yes
75,3,98,10745,3,11039,buy,no
76,3,101,10647,4,11051,buy,yes
77,3,105,10546,5,11071,sell,yes
78,3,95,10651,4,11031,sell,yes
79,3,90,10746,3,11016,buy,yes
80,3,93,10656,4,11028,buy,no
81,3,98,10563,5,11053,sell,yes
82,3,89,10661,4,11017,sell,no
83,3,89,10750,3,11017,no trade,yes
84,3,89,10750,3,11017,buy,yes
85,3,92,10661,4,11029,sell,yes
86,3,87,10753,3,11014,sell,yes
87,3,82,10840,2,11004,no trade,yes
88,3,82,10840,2,11004,no trade,yes
89,3,82,10840,2,11004,no trade,yes
90,3,82,10840,2,11004,no trade,yes
91,3,82,10840,2,11004,no trade,no
92,3,78,10840,2,10996,sell,no
93,3,74,10918,1,10992,no trade,no
94,3,74,10918,1,10992,buy,yes
95,3,77,10844,2,10998,buy,no
96,3,80,10767,3,11007,sell,yes
97,3,80,10847,2,11007,sell,yes
98,3,76,10927,1,11003,buy,yes
99,3,79,10851,2,11009,no trade,yes
100,3,79,10851,2,11009,sell,yes
101,3,75,10930,1,11005,,
