Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,no
2,1,103,10000,10,11030,sell,yes
3,1,98,10103,9,10985,no trade,yes
4,1,96,10103,9,10967,buy,yes
5,1,99,10007,10,10997,sell,yes
6,1,99,10106,9,10997,buy,yes
7,1,99,10007,10,10997,no trade,yes
8,1,97,10007,10,10977,buy,yes
9,1,102,9910,11,11032,sell,yes
10,1,97,10012,10,10982,no trade,yes
11,1,100,10012,10,11012,sell,yes
12,1,95,10112,9,10967,buy,yes
13,1,100,10017,10,11017,sell,yes
14,1,95,10117,9,10972,no trade,yes
15,1,98,10117,9,10999,no trade,yes
16,1,96,10117,9,10981,buy,yes
17,1,99,10021,10,11011,sell,yes
18,1,97,10120,9,10993,no trade,yes
19,1,100,10120,9,11020,sell,yes
20,1,95,10220,8,10980,no trade,yes
21,2,93,10220,8,10964,buy,yes
22,2,99,10127,9,11018,no trade,yes
23,2,97,10127,9,11000,sell,yes
24,2,95,10224,8,10984,buy,yes
25,2,101,10129,9,11038,sell,yes
26,2,96,10230,8,10998,no trade,yes
27,2,102,10230,8,11046,sell,yes
28,2,97,10332,7,11011,sell,yes
29,2,97,10429,6,11011,no trade,yes
30,2,97,10429,6,11011,sell,yes
31,2,93,10526,5,10991,buy,yes
32,2,99,10433,6,11027,sell,yes
33,2,95,10532,5,11007,no trade,yes
34,2,101,10532,5,11037,sell,yes
35,2,96,10633,4,11017,no trade,yes
36,2,96,10633,4,11017,no trade,yes
37,2,96,10633,4,11017,buy,yes
38,2,96,10537,5,11017,no trade,yes
39,2,102,10537,5,11047,sell,yes
40,2,97,10639,4,11027,sell,yes
41,2,95,10736,3,11021,buy,yes
42,2,105,10641,4,11061,sell,yes
43,2,100,10746,3,11046,sell,no
44,2,95,10846,2,11036,buy,yes
45,2,105,10751,3,11066,sell,yes
46,2,100,10856,2,11056,sell,yes
47,2,95,10956,1,11051,buy,yes
48,2,105,10861,2,11071,sell,yes
49,2,100,10966,1,11066,no trade,yes
50,2,106,10966,1,11072,sell,yes
51,2,101,11072,0,11072,no trade,yes
52,2,101,11072,0,11072,no trade,yes
53,2,98,11072,0,11072,buy,yes
54,2,108,10974,1,11082,sell,yes
55,2,103,11082,0,11082,no trade,yes
56,2,103,11082,0,11082,no trade,yes
57,2,103,11082,0,11082,no trade,yes
58,2,103,11082,0,11082,no trade,yes
59,2,103,11082,0,11082,no trade,yes
60,2,103,11082,0,11082,buy,yes
61,3,110,10979,1,11089,sell,yes
62,3,104,11089,0,11089,buy,yes
63,3,108,10985,1,11093,sell,yes
64,3,102,11093,0,11093,buy,yes
65,3,108,10991,1,11099,sell,yes
66,3,98,11099,0,11099,buy,yes
67,3,103,11001,1,11104,sell,yes
68,3,97,11104,0,11104,buy,yes
69,3,102,11007,1,11109,sell,yes
70,3,92,11109,0,11109,buy,yes
71,3,95,11017,1,11112,no trade,yes
72,3,95,11017,1,11112,sell,yes
73,3,95,11112,0,11112,buy,yes
74,3,98,11017,1,11115,sell,yes
75,3,89,11115,0,11115,buy,yes
76,3,94,11026,1,11120,buy,yes
77,3,97,10932,2,11126,sell,yes
78,3,92,11029,1,11121,no trade,yes
79,3,92,11029,1,11121,sell,yes
80,3,87,11121,0,11121,no trade,yes
81,3,87,11121,0,11121,buy,yes
82,3,90,11034,1,11124,sell,yes
83,3,85,11124,0,11124,buy,yes
84,3,88,11039,1,11127,sell,yes
85,3,80,11127,0,11127,buy,yes
86,3,83,11047,1,11130,sell,yes
87,3,75,11130,0,11130,buy,yes
88,3,79,11055,1,11134,sell,yes
89,3,72,11134,0,11134,buy,yes
90,3,76,11062,1,11138,sell,yes
91,3,69,11138,0,11138,buy,yes
92,3,73,11069,1,11142,sell,yes
93,3,66,11142,0,11142,no trade,yes
94,3,68,11142,0,11142,no trade,yes
95,3,64,11142,0,11142,no trade,yes
96,3,66,11142,0,11142,no trade,yes
97,3,63,11142,0,11142,buy,yes
98,3,67,11079,1,11146,sell,yes
99,3,61,11146,0,11146,buy,yes
100,3,65,11085,1,11150,sell,yes
101,3,59,11150,0,11150,,
