Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,100,10100,9,11000,sell,yes
3,1,95,10200,8,10960,no trade,no
4,1,98,10200,8,10984,sell,yes
5,1,98,10298,7,10984,buy,yes
6,1,98,10200,8,10984,sell,yes
7,1,98,10298,7,10984,sell,yes
8,1,94,10396,6,10960,buy,no
9,1,94,10302,7,10960,buy,no
10,1,94,10208,8,10960,buy,yes
11,1,99,10114,9,11005,sell,no
12,1,99,10213,8,11005,sell,yes
13,1,95,10312,7,10977,no trade,no
14,1,98,10312,7,10998,sell,no
15,1,94,10410,6,10974,buy,no
16,1,99,10316,7,11009,sell,no
17,1,95,10415,6,10985,no trade,no
18,1,95,10415,6,10985,buy,yes
19,1,98,10320,7,11006,sell,yes
20,1,94,10418,6,10982,no trade,yes
21,2,94,10418,6,10982,buy,yes
22,2,104,10324,7,11052,sell,no
23,2,104,10428,6,11052,sell,yes
24,2,99,10532,5,11027,no trade,yes
25,2,99,10532,5,11027,sell,yes
26,2,97,10631,4,11019,buy,yes
27,2,97,10534,5,11019,buy,yes
28,2,103,10437,6,11055,sell,yes
29,2,98,10540,5,11030,no trade,yes
30,2,98,10540,5,11030,no trade,yes
31,2,104,10540,5,11060,sell,yes
32,2,99,10644,4,11040,no trade,no
33,2,105,10644,4,11064,sell,no
34,2,100,10749,3,11049,buy,yes
35,2,111,10649,4,11093,sell,no
36,2,106,10760,3,11078,no trade,yes
37,2,113,10760,3,11099,sell,yes
38,2,108,10873,2,11089,buy,yes
39,2,119,10765,3,11122,no trade,yes
40,2,116,10765,3,11113,no trade,yes
41,2,116,10765,3,11113,sell,yes
42,2,116,10881,2,11113,sell,yes
43,2,113,10997,1,11110,buy,no
44,2,113,10884,2,11110,buy,yes
45,2,113,10771,3,11110,buy,yes
46,2,125,10658,4,11158,sell,yes
47,2,119,10783,3,11140,sell,yes
48,2,116,10902,2,11134,buy,no
49,2,128,10786,3,11170,sell,yes
50,2,122,10914,2,11158,sell,yes
51,2,119,11036,1,11155,buy,yes
52,2,131,10917,2,11179,sell,no
53,2,125,11048,1,11173,sell,no
54,2,122,11173,0,11173,no trade,no
55,2,130,11173,0,11173,no trade,no
56,2,127,11173,0,11173,buy,yes
57,2,135,11046,1,11181,no trade,no
58,2,131,11046,1,11177,buy,yes
59,2,139,10915,2,11193,sell,yes
60,2,133,11054,1,11187,buy,no
61,3,147,10921,2,11215,sell,yes
62,3,133,11068,1,11201,buy,yes
63,3,140,10935,2,11215,no trade,yes
64,3,132,10935,2,11199,buy,yes
65,3,136,10803,3,11211,no trade,yes
66,3,141,10803,3,11226,sell,yes
67,3,127,10944,2,11198,buy,yes
68,3,134,10817,3,11219,buy,yes
69,3,139,10683,4,11239,sell,yes
70,3,131,10822,3,11215,buy,yes
71,3,135,10691,4,11231,no trade,yes
72,3,127,10691,4,11199,buy,no
73,3,134,10564,5,11234,sell,yes
74,3,121,10698,4,11182,buy,no
75,3,125,10577,5,11202,no trade,yes
76,3,129,10577,5,11222,sell,yes
77,3,122,10706,4,11194,no trade,yes
78,3,126,10706,4,11210,sell,yes
79,3,114,10832,3,11174,buy,no
80,3,120,10718,4,11198,sell,yes
81,3,113,10838,3,11177,no trade,yes
82,3,117,10838,3,11189,no trade,yes
83,3,110,10838,3,11168,buy,yes
84,3,116,10728,4,11192,sell,no
85,3,110,10844,3,11174,buy,yes
86,3,116,10734,4,11198,no trade,no
87,3,110,10734,4,11174,buy,yes
88,3,114,10624,5,11194,sell,yes
89,3,114,10738,4,11194,buy,yes
90,3,118,10624,5,11214,sell,no
91,3,107,10742,4,11170,buy,no
92,3,111,10635,5,11190,no trade,yes
93,3,105,10635,5,11160,buy,yes
94,3,109,10530,6,11184,sell,no
95,3,103,10639,5,11154,no trade,yes
96,3,103,10639,5,11154,buy,yes
97,3,107,10536,6,11178,sell,yes
98,3,97,10643,5,11128,no trade,yes
99,3,97,10643,5,11128,no trade,yes
100,3,92,10643,5,11103,buy,yes
101,3,97,10551,6,11133,,
