Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,103,9900,11,11033,buy,no
3,1,107,9797,12,11081,sell,no
4,1,102,9904,11,11026,sell,no
5,1,99,10006,10,10996,no trade,no
6,1,99,10006,10,10996,buy,no
7,1,99,9907,11,10996,sell,no
8,1,95,10006,10,10956,no trade,no
9,1,95,10006,10,10956,sell,no
10,1,91,10101,9,10920,no trade,no
11,1,91,10101,9,10920,buy,no
12,1,91,10010,10,10920,sell,no
13,1,87,10101,9,10884,sell,no
14,1,87,10188,8,10884,sell,no
15,1,83,10275,7,10856,sell,no
16,1,81,10358,6,10844,sell,no
17,1,77,10439,5,10824,sell,no
18,1,74,10516,4,10812,no trade,no
19,1,72,10516,4,10804,sell,no
20,1,69,10588,3,10795,sell,no
21,2,67,10657,2,10791,sell,no
22,2,65,10724,1,10789,sell,no
23,2,64,10789,0,10789,buy,no
24,2,68,10725,1,10793,buy,no
25,2,75,10657,2,10807,buy,no
26,2,75,10582,3,10807,sell,no
27,2,73,10657,2,10803,no trade,no
28,2,73,10657,2,10803,buy,no
29,2,78,10584,3,10818,no trade,no
30,2,78,10584,3,10818,buy,no
31,2,83,10506,4,10838,buy,no
32,2,88,10423,5,10863,buy,no
33,2,94,10335,6,10899,buy,no
34,2,104,10241,7,10969,sell,no
35,2,99,10345,6,10939,sell,no
36,2,99,10444,5,10939,no trade,no
37,2,99,10444,5,10939,buy,no
38,2,105,10345,6,10975,sell,no
39,2,100,10450,5,10950,no trade,no
40,2,100,10450,5,10950,buy,no
41,2,106,10350,6,10986,sell,no
42,2,103,10456,5,10971,sell,no
43,2,100,10559,4,10959,sell,no
44,2,97,10659,3,10950,sell,no
45,2,97,10756,2,10950,sell,no
46,2,95,10853,1,10948,sell,no
47,2,93,10948,0,10948,no trade,no
48,2,99,10948,0,10948,no trade,no
49,2,97,10948,0,10948,buy,no
50,2,103,10851,1,10954,sell,no
51,2,98,10954,0,10954,no trade,no
52,2,104,10954,0,10954,buy,no
53,2,104,10850,1,10954,sell,no
54,2,104,10954,0,10954,no trade,no
55,2,111,10954,0,10954,buy,no
56,2,111,10843,1,10954,sell,no
57,2,106,10954,0,10954,no trade,no
58,2,113,10954,0,10954,buy,no
59,2,113,10841,1,10954,sell,no
60,2,110,10954,0,10954,buy,no
61,3,122,10844,1,10966,buy,no
62,3,122,10722,2,10966,sell,no
63,3,115,10844,1,10959,no trade,no
64,3,119,10844,1,10963,buy,no
65,3,119,10725,2,10963,buy,no
66,3,125,10606,3,10981,sell,no
67,3,113,10731,2,10957,sell,no
68,3,113,10844,1,10957,buy,no
69,3,119,10731,2,10969,no trade,no
70,3,112,10731,2,10955,buy,no
71,3,118,10619,3,10973,sell,no
72,3,107,10737,2,10951,sell,no
73,3,107,10844,1,10951,buy,no
74,3,111,10737,2,10959,sell,no
75,3,100,10848,1,10948,buy,yes
76,3,105,10748,2,10958,no trade,yes
77,3,99,10748,2,10946,buy,yes
78,3,104,10649,3,10961,buy,yes
79,3,104,10545,4,10961,sell,yes
80,3,104,10649,3,10961,sell,yes
81,3,98,10753,2,10949,buy,yes
82,3,103,10655,3,10964,buy,yes
83,3,103,10552,4,10964,sell,yes
84,3,93,10655,3,10934,no trade,yes
85,3,96,10655,3,10943,no trade,yes
86,3,91,10655,3,10928,buy,yes
87,3,96,10564,4,10948,sell,yes
88,3,87,10660,3,10921,buy,yes
89,3,92,10573,4,10941,buy,yes
90,3,92,10481,5,10941,sell,yes
91,3,92,10573,4,10941,sell,yes
92,3,87,10665,3,10926,no trade,yes
93,3,90,10665,3,10935,no trade,yes
94,3,90,10665,3,10935,sell,yes
95,3,85,10755,2,10925,buy,yes
96,3,90,10670,3,10940,sell,yes
97,3,81,10760,2,10922,buy,yes
98,3,86,10679,3,10937,buy,yes
99,3,91,10593,4,10957,sell,yes
100,3,91,10684,3,10957,sell,no
101,3,86,10775,2,10947,,
