Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,95,10100,9,10955,sell,no
3,1,93,10195,8,10939,buy,no
4,1,93,10102,9,10939,buy,no
5,1,99,10009,10,10999,sell,no
6,1,95,10108,9,10963,sell,no
7,1,95,10203,8,10963,buy,no
8,1,100,10108,9,11008,sell,no
9,1,95,10208,8,10968,buy,no
10,1,101,10113,9,11022,sell,no
11,1,96,10214,8,10982,sell,no
12,1,94,10310,7,10968,sell,no
13,1,94,10404,6,10968,sell,no
14,1,92,10498,5,10958,sell,no
15,1,90,10590,4,10950,buy,no
16,1,96,10500,5,10980,no trade,no
17,1,96,10500,5,10980,no trade,no
18,1,99,10500,5,10995,sell,no
19,1,95,10599,4,10979,buy,no
20,1,95,10504,5,10979,buy,no
21,2,95,10409,6,10979,buy,no
22,2,95,10314,7,10979,buy,no
23,2,95,10219,8,10979,no trade,no
24,2,93,10219,8,10963,no trade,no
25,2,93,10219,8,10963,no trade,no
26,2,99,10219,8,11011,sell,no
27,2,95,10318,7,10983,no trade,no
28,2,93,10318,7,10969,no trade,no
29,2,99,10318,7,11011,sell,no
30,2,95,10417,6,10987,no trade,no
31,2,93,10417,6,10975,buy,no
32,2,103,10324,7,11045,sell,no
33,2,98,10427,6,11015,no trade,no
34,2,96,10427,6,11003,no trade,no
35,2,102,10427,6,11039,sell,no
36,2,97,10529,5,11014,no trade,no
37,2,97,10529,5,11014,no trade,no
38,2,103,10529,5,11044,sell,no
39,2,98,10632,4,11024,no trade,no
40,2,104,10632,4,11048,sell,no
41,2,99,10736,3,11033,no trade,no
42,2,105,10736,3,11051,sell,no
43,2,100,10841,2,11041,buy,no
44,2,111,10741,3,11074,sell,no
45,2,106,10852,2,11064,sell,no
46,2,103,10958,1,11061,buy,no
47,2,110,10855,2,11075,sell,no
48,2,107,10965,1,11072,no trade,no
49,2,107,10965,1,11072,sell,no
50,2,104,11072,0,11072,buy,no
51,2,111,10968,1,11079,sell,no
52,2,108,11079,0,11079,no trade,no
53,2,108,11079,0,11079,buy,no
54,2,115,10971,1,11086,sell,no
55,2,112,11086,0,11086,no trade,no
56,2,112,11086,0,11086,buy,no
57,2,124,10974,1,11098,sell,no
58,2,118,11098,0,11098,no trade,no
59,2,118,11098,0,11098,buy,no
60,2,126,10980,1,11106,sell,no
61,3,123,11106,0,11106,no trade,no
62,3,123,11106,0,11106,buy,no
63,3,127,10983,1,11110,no trade,no
64,3,127,10983,1,11110,buy,no
65,3,134,10856,2,11124,sell,no
66,3,121,10990,1,11111,sell,no
67,3,115,11111,0,11111,buy,no
68,3,119,10996,1,11115,buy,no
69,3,125,10877,2,11127,no trade,no
70,3,125,10877,2,11127,buy,no
71,3,132,10752,3,11148,sell,no
72,3,119,10884,2,11122,no trade,no
73,3,123,10884,2,11130,no trade,no
74,3,117,10884,2,11118,buy,no
75,3,121,10767,3,11130,no trade,no
76,3,125,10767,3,11142,buy,no
77,3,125,10642,4,11142,sell,no
78,3,119,10767,3,11124,no trade,no
79,3,119,10767,3,11124,buy,no
80,3,123,10648,4,11140,buy,no
81,3,127,10525,5,11160,no trade,no
82,3,121,10525,5,11130,no trade,no
83,3,125,10525,5,11150,sell,no
84,3,119,10650,4,11126,buy,no
85,3,125,10531,5,11156,sell,no
86,3,119,10656,4,11132,buy,no
87,3,125,10537,5,11162,sell,no
88,3,119,10662,4,11138,buy,no
89,3,125,10543,5,11168,sell,no
90,3,113,10668,4,11120,buy,no
91,3,117,10555,5,11140,sell,no
92,3,112,10672,4,11120,no trade,no
93,3,116,10672,4,11136,no trade,no
94,3,111,10672,4,11116,buy,no
95,3,115,10561,5,11136,buy,no
96,3,121,10446,6,11172,sell,no
97,3,109,10567,5,11112,buy,no
98,3,115,10458,6,11148,buy,no
99,3,115,10343,7,11148,buy,no
100,3,115,10228,8,11148,no trade,no
101,3,119,10228,8,11180,,
