Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,yes
2,1,105,9900,11,11055,no trade,yes
3,1,109,9900,11,11099,no trade,yes
4,1,113,9900,11,11143,no trade,yes
5,1,110,9900,11,11110,buy,yes
6,1,116,9790,12,11182,no trade,yes
7,1,120,9790,12,11230,sell,yes
8,1,120,9910,11,11230,sell,no
9,1,120,10030,10,11230,sell,yes
10,1,120,10150,9,11230,no trade,no
11,1,124,10150,9,11266,sell,yes
12,1,124,10274,8,11266,buy,no
13,1,131,10150,9,11329,buy,yes
14,1,131,10019,10,11329,no trade,yes
15,1,128,10019,10,11299,buy,no
16,1,128,9891,11,11299,no trade,yes
17,1,132,9891,11,11343,sell,no
18,1,126,10023,10,11283,sell,no
19,1,120,10149,9,11229,buy,no
20,1,120,10029,10,11229,buy,yes
21,2,126,9909,11,11295,sell,yes
22,2,120,10035,10,11235,no trade,yes
23,2,117,10035,10,11205,sell,no
24,2,117,10152,9,11205,sell,no
25,2,117,10269,8,11205,buy,no
26,2,129,10152,9,11313,sell,no
27,2,129,10281,8,11313,buy,no
28,2,129,10152,9,11313,buy,yes
29,2,142,10023,10,11443,sell,no
30,2,135,10165,9,11380,sell,yes
31,2,129,10300,8,11332,buy,yes
32,2,129,10171,9,11332,buy,yes
33,2,129,10042,10,11332,sell,yes
34,2,123,10171,9,11278,sell,yes
35,2,123,10294,8,11278,buy,yes
36,2,123,10171,9,11278,no trade,yes
37,2,120,10171,9,11251,sell,yes
38,2,114,10291,8,11203,sell,no
39,2,109,10405,7,11168,buy,yes
40,2,109,10296,8,11168,sell,yes
41,2,104,10405,7,11133,no trade,yes
42,2,101,10405,7,11112,buy,yes
43,2,101,10304,8,11112,no trade,no
44,2,98,10304,8,11088,sell,yes
45,2,94,10402,7,11060,no trade,yes
46,2,92,10402,7,11046,sell,yes
47,2,92,10494,6,11046,buy,yes
48,2,92,10402,7,11046,buy,yes
49,2,92,10310,8,11046,no trade,yes
50,2,90,10310,8,11030,buy,yes
51,2,90,10220,9,11030,buy,yes
52,2,100,10130,10,11130,sell,yes
53,2,95,10230,9,11085,buy,yes
54,2,101,10135,10,11145,buy,yes
55,2,108,10034,11,11222,sell,yes
56,2,108,10142,10,11222,sell,yes
57,2,103,10250,9,11177,buy,yes
58,2,110,10147,10,11247,buy,yes
59,2,122,10037,11,11379,sell,yes
60,2,116,10159,10,11319,sell,yes
61,3,113,10275,9,11292,sell,yes
62,3,113,10388,8,11292,sell,yes
63,3,108,10501,7,11257,buy,yes
64,3,108,10393,8,11257,no trade,yes
65,3,108,10393,8,11257,no trade,yes
66,3,108,10393,8,11257,sell,yes
67,3,108,10501,7,11257,no trade,yes
68,3,108,10501,7,11257,buy,yes
69,3,112,10393,8,11289,buy,yes
70,3,116,10281,9,11325,buy,yes
71,3,116,10165,10,11325,sell,yes
72,3,111,10281,9,11280,sell,yes
73,3,111,10392,8,11280,sell,yes
74,3,106,10503,7,11245,sell,yes
75,3,96,10609,6,11185,buy,yes
76,3,99,10513,7,11206,buy,yes
77,3,104,10414,8,11246,buy,yes
78,3,104,10310,9,11246,buy,yes
79,3,108,10206,10,11286,no trade,yes
80,3,108,10206,10,11286,no trade,yes
81,3,108,10206,10,11286,no trade,yes
82,3,108,10206,10,11286,no trade,yes
83,3,108,10206,10,11286,buy,yes
84,3,114,10098,11,11352,sell,yes
85,3,103,10212,10,11242,sell,yes
86,3,98,10315,9,11197,sell,yes
87,3,94,10413,8,11165,sell,yes
88,3,90,10507,7,11137,no trade,no
89,3,90,10507,7,11137,no trade,yes
90,3,90,10507,7,11137,buy,yes
91,3,93,10417,8,11161,sell,yes
92,3,89,10510,7,11133,no trade,yes
93,3,89,10510,7,11133,no trade,yes
94,3,89,10510,7,11133,sell,yes
95,3,85,10599,6,11109,no trade,yes
96,3,85,10599,6,11109,no trade,yes
97,3,85,10599,6,11109,no trade,yes
98,3,85,10599,6,11109,buy,no
99,3,88,10514,7,11130,no trade,yes
100,3,88,10514,7,11130,sell,yes
101,3,84,10602,6,11106,,
