Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,buy,no
2,1,105,9900,11,11055,sell,no
3,1,105,10005,10,11055,no trade,no
4,1,109,10005,10,11095,sell,no
5,1,109,10114,9,11095,no trade,no
6,1,113,10114,9,11131,sell,no
7,1,113,10227,8,11131,no trade,no
8,1,117,10227,8,11163,sell,no
9,1,112,10344,7,11128,buy,no
10,1,112,10232,8,11128,no trade,no
11,1,109,10232,8,11104,buy,no
12,1,109,10123,9,11104,sell,no
13,1,104,10232,8,11064,buy,no
14,1,104,10128,9,11064,no trade,no
15,1,101,10128,9,11037,no trade,no
16,1,101,10128,9,11037,no trade,no
17,1,98,10128,9,11010,sell,no
18,1,94,10226,8,10978,sell,no
19,1,94,10320,7,10978,sell,no
20,1,94,10414,6,10978,sell,no
21,2,90,10508,5,10958,buy,no
22,2,100,10418,6,11018,sell,no
23,2,100,10518,5,11018,sell,no
24,2,100,10618,4,11018,no trade,no
25,2,106,10618,4,11042,sell,no
26,2,106,10724,3,11042,no trade,no
27,2,113,10724,3,11063,sell,no
28,2,113,10837,2,11063,no trade,no
29,2,110,10837,2,11057,buy,no
30,2,110,10727,3,11057,no trade,no
31,2,107,10727,3,11048,buy,no
32,2,107,10620,4,11048,no trade,no
33,2,104,10620,4,11036,sell,no
34,2,99,10724,3,11021,buy,no
35,2,109,10625,4,11061,sell,no
36,2,109,10734,3,11061,sell,no
37,2,109,10843,2,11061,no trade,no
38,2,116,10843,2,11075,sell,no
39,2,111,10959,1,11070,no trade,no
40,2,108,10959,1,11067,no trade,no
41,2,115,10959,1,11074,sell,no
42,2,110,11074,0,11074,no trade,no
43,2,107,11074,0,11074,no trade,no
44,2,104,11074,0,11074,no trade,no
45,2,101,11074,0,11074,no trade,no
46,2,108,11074,0,11074,no trade,no
47,2,105,11074,0,11074,no trade,no
48,2,102,11074,0,11074,no trade,no
49,2,99,11074,0,11074,buy,no
50,2,109,10975,1,11084,sell,no
51,2,104,11084,0,11084,no trade,no
52,2,101,11084,0,11084,no trade,no
53,2,98,11084,0,11084,buy,no
54,2,98,10986,1,11084,no trade,no
55,2,104,10986,1,11090,sell,no
56,2,99,11090,0,11090,buy,no
57,2,99,10991,1,11090,no trade,no
58,2,105,10991,1,11096,sell,no
59,2,100,11096,0,11096,no trade,no
60,2,97,11096,0,11096,buy,no
61,3,97,10999,1,11096,no trade,no
62,3,100,10999,1,11099,no trade,no
63,3,94,10999,1,11093,buy,no
64,3,99,10905,2,11103,no trade,no
65,3,102,10905,2,11109,no trade,no
66,3,96,10905,2,11097,no trade,no
67,3,91,10905,2,11087,buy,no
68,3,96,10814,3,11102,no trade,no
69,3,99,10814,3,11111,no trade,no
70,3,102,10814,3,11120,sell,no
71,3,102,10916,2,11120,no trade,no
72,3,106,10916,2,11128,sell,no
73,3,96,11022,1,11118,buy,no
74,3,96,10926,2,11118,no trade,no
75,3,99,10926,2,11124,no trade,no
76,3,102,10926,2,11130,sell,no
77,3,92,11028,1,11120,buy,no
78,3,97,10936,2,11130,no trade,no
79,3,100,10936,2,11136,sell,no
80,3,90,11036,1,11126,no trade,no
81,3,93,11036,1,11129,buy,no
82,3,98,10943,2,11139,sell,no
83,3,89,11041,1,11130,buy,no
84,3,94,10952,2,11140,no trade,no
85,3,89,10952,2,11130,buy,no
86,3,94,10863,3,11145,sell,no
87,3,85,10957,2,11127,buy,no
88,3,88,10872,3,11136,sell,no
89,3,83,10960,2,11126,no trade,no
90,3,83,10960,2,11126,no trade,no
91,3,83,10960,2,11126,no trade,no
92,3,83,10960,2,11126,no trade,no
93,3,83,10960,2,11126,buy,no
94,3,88,10877,3,11141,sell,no
95,3,88,10965,2,11141,no trade,no
96,3,91,10965,2,11147,sell,no
97,3,91,11056,1,11147,no trade,no
98,3,86,11056,1,11142,no trade,no
99,3,89,11056,1,11145,no trade,no
100,3,84,11056,1,11140,no trade,no
101,3,79,11056,1,11135,,
