Trials,MarketCondition,StockPrice,p1Cash,p1Stock,p1TotalAsset,p1Decision,p1ChechHistory
1,1,100,10000,10,11000,no trade,yes
2,1,97,10000,10,10970,buy,yes
3,1,100,9903,11,11003,sell,no
4,1,95,10003,10,10953,buy,yes
5,1,98,9908,11,10986,sell,yes
6,1,94,10006,10,10946,buy,yes
7,1,99,9912,11,11001,no trade,yes
8,1,97,9912,11,10979,buy,yes
9,1,102,9815,12,11039,sell,no
10,1,97,9917,11,10984,buy,no
11,1,102,9820,12,11044,sell,no
12,1,97,9922,11,10989,buy,no
13,1,97,9825,12,10989,no trade,no
14,1,97,9825,12,10989,no trade,no
15,1,95,9825,12,10965,buy,no
16,1,98,9730,13,11004,no trade,no
17,1,96,9730,13,10978,buy,no
18,1,101,9634,14,11048,sell,no
19,1,96,9735,13,10983,buy,no
20,1,99,9639,14,11025,no trade,no
21,2,97,9639,14,10997,buy,no
22,2,107,9542,15,11147,sell,no
23,2,102,9649,14,11077,sell,yes
24,2,97,9751,13,11012,no trade,no
25,2,103,9751,13,11090,sell,no
26,2,98,9854,12,11030,no trade,no
27,2,104,9854,12,11102,sell,no
28,2,99,9958,11,11047,no trade,no
29,2,99,9958,11,11047,no trade,no
30,2,99,9958,11,11047,no trade,no
31,2,99,9958,11,11047,no trade,no
32,2,99,9958,11,11047,no trade,yes
33,2,99,9958,11,11047,buy,no
34,2,99,9859,12,11047,no trade,yes
35,2,99,9859,12,11047,no trade,yes
36,2,99,9859,12,11047,no trade,yes
37,2,99,9859,12,11047,buy,yes
38,2,105,9760,13,11125,sell,yes
39,2,100,9865,12,11065,no trade,no
40,2,100,9865,12,11065,no trade,yes
41,2,100,9865,12,11065,no trade,yes
42,2,100,9865,12,11065,sell,yes
43,2,97,9965,11,11032,buy,no
44,2,107,9868,12,11152,sell,yes
45,2,102,9975,11,11097,sell,yes
46,2,99,10077,10,11067,no trade,no
47,2,105,10077,10,11127,sell,yes
48,2,100,10182,9,11082,buy,no
49,2,106,10082,10,11142,sell,yes
50,2,103,10188,9,11115,sell,yes
51,2,100,10291,8,11091,buy,yes
52,2,111,10191,9,11190,sell,yes
53,2,108,10302,8,11166,sell,yes
54,2,105,10410,7,11145,sell,yes
55,2,102,10515,6,11127,no trade,yes
56,2,109,10515,6,11169,sell,yes
57,2,104,10624,5,11144,sell,yes
58,2,101,10728,4,11132,no trade,no
59,2,108,10728,4,11160,sell,yes
60,2,103,10836,3,11145,sell,yes
61,3,103,10939,2,11145,buy,yes
62,3,109,10836,3,11163,sell,yes
63,3,99,10945,2,11143,buy,yes
64,3,104,10846,3,11158,sell,no
65,3,98,10950,2,11146,buy,no
66,3,103,10852,3,11161,sell,yes
67,3,93,10955,2,11141,buy,yes
68,3,98,10862,3,11156,buy,yes
69,3,101,10764,4,11168,no trade,yes
70,3,101,10764,4,11168,no trade,yes
71,3,105,10764,4,11184,sell,yes
72,3,95,10869,3,11154,buy,no
73,3,100,10774,4,11174,no trade,yes
74,3,100,10774,4,11174,no trade,yes
75,3,94,10774,4,11150,buy,yes
76,3,99,10680,5,11175,buy,yes
77,3,102,10581,6,11193,no trade,yes
78,3,96,10581,6,11157,buy,no
79,3,101,10485,7,11192,no trade,yes
80,3,95,10485,7,11150,buy,yes
81,3,100,10390,8,11190,no trade,yes
82,3,94,10390,8,11142,buy,yes
83,3,99,10296,9,11187,no trade,yes
84,3,94,10296,9,11142,buy,no
85,3,99,10202,10,11192,no trade,yes
86,3,94,10202,10,11142,buy,no
87,3,97,10108,11,11175,buy,yes
88,3,102,10011,12,11235,sell,yes
89,3,92,10113,11,11125,buy,no
90,3,95,10021,12,11161,buy,no
91,3,98,9926,13,11200,no trade,yes
92,3,98,9926,13,11200,no trade,yes
93,3,98,9926,13,11200,buy,yes
94,3,98,9828,14,11200,no trade,yes
95,3,98,9828,14,11200,buy,yes
96,3,101,9730,15,11245,sell,no
97,3,91,9831,14,11105,buy,yes
98,3,96,9740,15,11180,buy,yes
99,3,99,9644,16,11228,no trade,yes
100,3,99,9644,16,11228,no trade,yes
101,3,99,9644,16,11228,,
