Trials,MarketCondition,StockPrice,p2Cash,p2Stock,p2TotalAsset,p2Decision,p2ChechHistory
1,1,100,10000,10,11000,sell,no
2,1,95,10100,9,10955,buy,no
3,1,100,10005,10,11005,sell,no
4,1,95,10105,9,10960,buy,no
5,1,100,10010,10,11010,no trade,no
6,1,97,10010,10,10980,no trade,no
7,1,95,10010,10,10960,buy,no
8,1,100,9915,11,11015,sell,no
9,1,95,10015,10,10965,no trade,no
10,1,98,10015,10,10995,sell,no
11,1,94,10113,9,10959,buy,no
12,1,99,10019,10,11009,sell,no
13,1,95,10118,9,10973,buy,no
14,1,98,10023,10,11003,buy,no
15,1,98,9925,11,11003,buy,no
16,1,98,9827,12,11003,sell,no
17,1,94,9925,11,10959,sell,no
18,1,94,10019,10,10959,sell,no
19,1,94,10113,9,10959,sell,no
20,1,92,10207,8,10943,sell,no
21,2,92,10299,7,10943,buy,no
22,2,92,10207,8,10943,buy,no
23,2,102,10115,9,11033,sell,no
24,2,97,10217,8,10993,sell,no
25,2,93,10314,7,10965,buy,no
26,2,99,10221,8,11013,sell,no
27,2,95,10320,7,10985,no trade,no
28,2,95,10320,7,10985,no trade,no
29,2,93,10320,7,10971,buy,no
30,2,103,10227,8,11051,sell,no
31,2,98,10330,7,11016,sell,no
32,2,94,10428,6,10992,buy,no
33,2,100,10334,7,11034,no trade,no
34,2,97,10334,7,11013,no trade,no
35,2,95,10334,7,10999,buy,no
36,2,101,10239,8,11047,sell,no
37,2,96,10340,7,11012,buy,no
38,2,102,10244,8,11060,sell,no
39,2,99,10346,7,11039,no trade,no
40,2,99,10346,7,11039,no trade,no
41,2,99,10346,7,11039,sell,no
42,2,97,10445,6,11027,no trade,no
43,2,97,10445,6,11027,sell,no
44,2,95,10542,5,11017,buy,no
45,2,105,10447,6,11077,sell,no
46,2,100,10552,5,11052,sell,no
47,2,97,10652,4,11040,buy,no
48,2,103,10555,5,11070,sell,no
49,2,100,10658,4,11058,no trade,no
50,2,100,10658,4,11058,sell,no
51,2,97,10758,3,11049,sell,no
52,2,97,10855,2,11049,sell,no
53,2,95,10952,1,11047,buy,no
54,2,105,10857,2,11067,sell,no
55,2,100,10962,1,11062,buy,no
56,2,100,10862,2,11062,buy,no
57,2,106,10762,3,11080,sell,no
58,2,103,10868,2,11074,buy,no
59,2,110,10765,3,11095,sell,no
60,2,107,10875,2,11089,sell,no
61,3,104,10982,1,11086,sell,no
62,3,98,11086,0,11086,buy,no
63,3,101,10988,1,11089,buy,no
64,3,105,10887,2,11097,buy,no
65,3,109,10782,3,11109,buy,no
66,3,113,10673,4,11125,buy,no
67,3,117,10560,5,11145,buy,no
68,3,121,10443,6,11169,buy,no
69,3,125,10322,7,11197,buy,no
70,3,129,10197,8,11229,buy,no
71,3,133,10068,9,11265,sell,no
72,3,126,10201,8,11209,sell,no
73,3,119,10327,7,11160,buy,no
74,3,123,10208,8,11192,sell,no
75,3,116,10331,7,11143,sell,no
76,3,110,10447,6,11107,buy,no
77,3,114,10337,7,11135,buy,no
78,3,118,10223,8,11167,sell,no
79,3,111,10341,7,11118,sell,no
80,3,105,10452,6,11082,buy,no
81,3,109,10347,7,11110,no trade,no
82,3,109,10347,7,11110,no trade,no
83,3,109,10347,7,11110,sell,yes
84,3,103,10456,6,11074,buy,yes
85,3,107,10353,7,11102,buy,no
86,3,111,10246,8,11134,sell,no
87,3,105,10357,7,11092,buy,no
88,3,109,10252,8,11124,sell,no
89,3,103,10361,7,11082,sell,no
90,3,97,10464,6,11046,buy,no
91,3,100,10367,7,11067,no trade,no
92,3,100,10367,7,11067,buy,no
93,3,103,10267,8,11091,sell,no
94,3,97,10370,7,11049,buy,no
95,3,100,10273,8,11073,sell,no
96,3,94,10373,7,11031,sell,no
97,3,94,10467,6,11031,sell,no
98,3,89,10561,5,11006,buy,no
99,3,92,10472,6,11024,no trade,no
100,3,92,10472,6,11024,buy,no
101,3,95,10380,7,11045,,
